,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,리빙보이 인 뉴욕,The Only Living Boy In New York,2017,미국,"멜로/로맨스,드라마",주연,248619800.0,30379.0,248619800.0,30379.0
1,언더월드: 블러드 워,Underworld: Blood Wars,2016,미국,"액션,판타지,공포(호러)",주연,567567100.0,72071.0,567567100.0,72071.0
2,레이디 수잔,Love & Friendship,2016,"영국,아일랜드","드라마,멜로/로맨스",주연,51727800.0,7071.0,51727800.0,7071.0
3,디스어포인트먼트 룸,The Disappointments Room,2016,미국,공포(호러),주연,,,,
4,앱솔루틀리 애니씽,Absolutely Anything,2015,"미국,영국","코미디,SF",주연,54445800.0,7052.0,54492800.0,7059.0
5,히든 아이덴티티,Eliza Graves,2014,미국,"미스터리,스릴러",주연,17978000.0,2430.0,17978000.0,2430.0
6,룸메이트 살인사건: 둘만의 방,The Face Of An Angel,2014,영국,드라마,주연,,,308000.0,31.0
7,케이트 맥콜,The Trials Of Cate McCall,2013,미국,"스릴러,드라마",주연,23062500.0,3014.0,23062500.0,3014.0
8,토탈 리콜,Total Recall,2012,"미국,캐나다","SF,액션",주연-로리역,8958236000.0,1219637.0,8958236000.0,1219637.0
9,콘트라밴드,Contraband,2011,"미국,영국","액션,스릴러",주연-케이트 페러데이 역,393549500.0,52743.0,393549500.0,52743.0
10,언더월드 4: 어웨이크닝,Underworld Awakening,2011,미국,"액션,판타지,SF,공포(호러)",주연,1861948000.0,200038.0,1861948000.0,200038.0
11,에브리바디 파인,Everybody's Fine,2009,미국,"어드벤처,드라마",주연,,,222000.0,111.0
12,화이트아웃,Whiteout,2009,"미국,캐나다,프랑스","액션,범죄,미스터리",주연,,,,
13,더 트루스: 무언의 제보자,Nothing But The Truth,2008,미국,"드라마,스릴러",주연,270000.0,54.0,270000.0,54.0
14,윙드 크리처스,Winged Creatures,2008,미국,"범죄,드라마",주연,,,,
15,베이컨시,Vacancy,2007,미국,"공포(호러),스릴러",주연,0.0,500.0,3500000.0,500.0
16,스노우 엔젤스,Snow Angels,2007,미국,"드라마,멜로/로맨스",주연,,,,
17,클릭,Click,2006,미국,"코미디,드라마,판타지",주연,0.0,379377.0,2184174700.0,364548.0
18,언더월드2 - 에볼루션,Underworld: Evolution,2005,미국,"액션,공포(호러),판타지",주연-셀린느역,0.0,449407.0,3535235500.0,552428.0
19,반 헬싱,Van Helsing,2004,미국,액션,주연,0.0,1631359.0,5586373000.0,872828.0
20,언더월드,Underworld,2003,"미국,독일,영국,헝가리",공포(호러),주연,0.0,370212.0,,
21,팁토,Tiptoes,2003,"미국,프랑스","코미디,드라마,멜로/로맨스",주연,,,,
22,로렐 캐년,Laurel Canyon,2002,미국,"드라마,뮤지컬",주연,,,,
23,세렌디피티,Serendipity,2001,미국,드라마,주연,0.0,118662.0,,
24,진주만,Pearl Harbor,2001,미국,"드라마,전쟁",조연,0.0,1061151.0,102000.0,34.0
25,러브 템테이션,The Golden Bowl,2000,미국,드라마,주연,,,,
26,브로크다운 펠리스,Brokedown Palace,1999,미국,드라마,주연,0.0,11435.0,,
27,엠마,Emma,1997,영국,"코미디,멜로/로맨스",주연,,,,
