,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,로건 럭키,Logan Lucky,2017,미국,"코미디,범죄,드라마,액션",주연,180242600.0,23339.0,180226600.0,23336.0
1,사랑에 미치다,Touched with Fire,2015,미국,"드라마,멜로/로맨스",주연,10273000.0,1326.0,10273000.0,1326.0
2,미스 메도우,Miss Meadows,2014,미국,드라마,주연,270000.0,54.0,270000.0,54.0
3,더 기버: 기억전달자,The Giver,2014,미국,"SF,드라마,판타지",주연,814330000.0,107567.0,814330000.0,107567.0
4,장난감이 살아있다,Foosball,2013,"아르헨티나,스페인","애니메이션,어드벤처,가족",주연(목소리),1112430600.0,142977.0,1112931600.0,143100.0
5,더 로맨틱,The Romantics,2010,미국,"멜로/로맨스,드라마",주연-로라역,,,,
6,돈비 어프레이드 : 어둠 속의 속삭임,Don't Be Afraid Of The Dark,2010,"미국,호주,멕시코","공포(호러),스릴러",주연-킴 레이플 역,521600500.0,70506.0,523576000.0,70798.0
7,매드 머니,Med Money,2008,미국,"액션,코미디,범죄",주연,,,,
8,대통령의 딸,First Daughter,2004,미국,"코미디,멜로/로맨스",주연-사만다 맥켄지역,,,,
9,어벤던,Abandon,2003,미국,"범죄,드라마,미스터리",주연,0.0,10.0,,
10,에이프릴의 특별한 만찬,Pieces Of April,2003,미국,"코미디,드라마,가족",주연,,,,
11,원더 보이즈,Wonder Boys,2000,"독일,일본,영국,미국","드라마,코미디",주연,,,,
12,팅글 부인 가르치기,Teaching Mrs. Tingle,1999,미국,코미디,주연,,,,
13,크레들 베이,Disturbing Behavior,1998,"호주,미국","공포(호러),스릴러",주연,,,,
