,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,프리덤,Freedom,2014,미국,"드라마,가족",주연,737817100.0,106241.0,738372100.0,106483.0
1,언노운 어택,Absolute Deception,2013,미국,액션,주연-넬슨역,400000.0,200.0,400000.0,200.0
2,더 킬러스,One In The Chamber,2012,미국,액션,주연,,,,
3,레드 테일스,Red Tails,2012,미국,"액션,어드벤처",주연-메이저 엠마뉴엘 스탠스 역 역,,,,
4,새크리파이스,Sacrifice,2011,미국,"액션,스릴러",주연-존 헤브론역,,,,
5,히트 리스트,The Hit List,2011,미국,"액션,스릴러",주연-조나스 알도르 역역,,,,
6,롱 턴 앳 타호,Wrong turn at Tahoe,2010,미국,"스릴러,범죄",주연-조슈아역,,,,
7,티킹 클락,TICKING CLOCK,2010,미국,"액션,스릴러",주연-루이스 힉스 역역,,,,
8,악마의 무덤,The Devil's Tomb,2009,미국,"액션,공포(호러)",주연,,,8000.0,1.0
9,웨이 오브 워,The Way Of War,2009,미국,"액션,스릴러",주연,,,,
10,하드와이어,Hardwired,2009,"미국,캐나다","액션,SF",주연-루크역,,,,
11,함정과 비밀,Lies and Illusions,2009,미국,"스릴러,액션",주연-아이작 칸 역역,,,,
12,라인워치,Linewatch,2008,미국,"범죄,스릴러,드라마",주연,,,,
13,해롤드,Harold,2008,미국,코미디,주연,,,,
14,히어로 원티드,Hero Wanted,2008,미국,"액션,범죄",주연,,,,
15,왓 러브 이즈,What Love Is,2007,미국,"코미디,드라마,멜로/로맨스",주연,,,,
16,대디 데이 캠프,Daddy Day Camp,2007,미국,"코미디,가족",주연,,,,
17,엔드게임,End Game,2006,"미국,독일,캐나다","액션,스릴러",주연,,,,
18,더티,Dirty,2005,미국,"스릴러,범죄",주연,,,,
19,라디오,Radio,2003,미국,드라마,주연,,,,
20,파이팅 템테이션,The Fighting Temptations,2003,미국,코미디,주연,,,,
21,스노우 독스,Snow Dogs,2002,미국,코미디,주연,0.0,9272.0,,
22,노 브레인 레이스,Rat Race,2001,미국,코미디,조연,0.0,81423.0,382766500.0,62026.0
23,맨 오브 오너,Man Of Honor,2000,미국,드라마,주연,0.0,45747.0,,
24,칠 팩터,Chill Factor,1999,미국,"액션,코미디,스릴러",주연-알로역,0.0,5942.0,,
25,인스팅트,Instinct,1999,미국,"드라마,스릴러,범죄",주연,0.0,43253.0,,
26,머더오브크로우,A Murder Of Crows,1998,미국,"액션,스릴러,범죄",주연,0.0,41.0,,
27,천국보다 아름다운,What Dreams May Come,1998,미국,"멜로/로맨스,판타지",주연,0.0,140077.0,,
28,제리 맥과이어,Jerry Maguire,1996,미국,"드라마,코미디",주연,0.0,448393.0,37655400.0,5184.0
29,킬러 나이트,Judgement Night,1993,미국,"액션,범죄",주연,0.0,6994.0,,
30,글라디에이터,Gladiator,1991,미국,"액션,드라마",주연,0.0,24533.0,,
31,보이즈 앤 후드,Boyz N the Hood,1991,미국,"범죄,드라마",주연,,,450000.0,45.0
