,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,사랑의 소용돌이,Love's Whirlpool,2014,일본,멜로/로맨스,주연,270000.0,54.0,270000.0,54.0
1,익스트림 스키야키,The Extreme Sukiyaki,2013,일본,코미디,주연,1392000.0,232.0,1392000.0,232.0
2,같은 달을 보고 있다,Under The Same Moon,2005,일본,드라마,주연,,300.0,2009000.0,298.0
3,마계환생,Samurai Resurrection,2003,일본,"액션,판타지",주연,,,,
4,핑퐁,Ping Pong,2002,일본,코미디,주연,,,862500.0,138.0
5,란도리,Laundry,2001,일본,드라마,주연-테루역,0.0,1403.0,9538500.0,1468.0
6,GO(고),Go,2001,"한국,일본,미국",드라마,주연,0.0,49458.0,,
7,물에 빠진 물고기,Oboreru Sakana,2001,일본,"코미디,액션",주연,,,,
8,스트로베리 온 더 숏케익,Strawberry On The Shortcake,2001,일본,드라마,주연,,,,
9,토미에 리플레이,Tomie: Replay,2000,일본,공포(호러),주연,,,,
