,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,알리타: 배틀 엔젤,Alita: Battle Angel,2018,미국,"액션,어드벤처,멜로/로맨스,SF,스릴러",주연,,,,
1,다운사이징,Downsizing,2017,미국,"드라마,코미디",주연-두샨 미르코비치역,1237610004.0,150345.0,1237610004.0,150345.0
2,튤립 피버,Tulip Fever,2017,"영국,미국","드라마,멜로/로맨스",주연,425521049.0,53121.0,425521049.0,53121.0
3,레전드 오브 타잔,The Legend of Tarzan,2016,미국,"액션,어드벤처",주연,7196970717.0,858402.0,7196970717.0,858402.0
4,007 스펙터,Spectre,2015,"영국,미국","액션,어드벤처,범죄,스릴러",주연,14302132030.0,1820842.0,14302132030.0,1820842.0
5,빅 아이즈,Big Eyes,2014,미국,드라마,주연,651316335.0,85200.0,652303335.0,85366.0
6,제로법칙의 비밀,The Zero Theorem,2013,"미국,루마니아,영국","SF,판타지",주연,41339100.0,5212.0,42123100.0,5310.0
7,에픽 : 숲속의 전설,Epic,2013,미국,"애니메이션,어드벤처",주연-맨드레이크역(목소리),6748089000.0,978788.0,6748072000.0,978785.0
8,장고:분노의 추적자,Django Unchained,2012,미국,"서부극(웨스턴),드라마",주연,1883634000.0,260144.0,1885583000.0,260405.0
9,대학살의 신,CARNAGE,2011,"프랑스,독일,폴란드,스페인","드라마,코미디",주연,147873500.0,19917.0,147873500.0,19917.0
10,워터 포 엘리펀트,Water For Elephants,2011,미국,드라마,주연-오거스트역,418236500.0,55561.0,418236500.0,55561.0
11,바스터즈: 거친 녀석들,Inglourious Basterds,2009,"미국,독일","액션,드라마,전쟁",주연-한스 란다 역,2547650425.0,336312.0,2513029000.0,331827.0
12,파이널 게임,The Final Game,1998,독일,"액션,범죄",주연,,,,
