,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,발레리안: 천 개 행성의 도시,VALERIAN : The City of A Thousand Planets,2017,프랑스,"액션,어드벤처,SF",주연,4047756408.0,511931.0,4047756408.0,511931.0
1,제 7기사단,Last Knights,2014,"한국,미국","액션,어드벤처",주연-레이든역,80160964.0,10710.0,80160964.0,10710.0
2,러브 앤 아트,Words and Pictures,2013,미국,"멜로/로맨스,드라마",주연,28914300.0,3766.0,28914300.0,3766.0
3,블러드 타이즈,Blood Ties,2013,"프랑스,미국","범죄,액션,드라마",주연,41526500.0,5828.0,41526500.0,5828.0
4,섀도우 댄서,Shadow Dancer,2012,"영국,아일랜드","드라마,스릴러",주연-맥역,29847800.0,4481.0,29847800.0,4481.0
5,킬러 엘리트,Killer Elite,2011,미국,"스릴러,액션",주연-스파이크 역,1249754000.0,165123.0,1249754000.0,165123.0
6,인트루더스,Intruders,2011,"미국,스페인,영국","공포(호러),스릴러",주연-존역,,,,
7,더블 스파이,Duplicity,2009,"미국,독일","범죄,멜로/로맨스,스릴러",주연-레이 코발역,339420521.0,51270.0,332882000.0,50346.0
8,인터내셔널,The International,2009,미국,"액션,스릴러,드라마",주연,1617695541.0,241669.0,1591408000.0,237869.0
9,더 보이스 아 백,The Boys Are Back,2009,"호주,영국",드라마,주연,,,,
10,골든 에이지,The Golden Age,2007,영국,"드라마,사극",주연,0.0,189348.0,1094677500.0,173887.0
11,거침없이 쏴라! 슛뎀업,Shoot `Em Up,2007,미국,액션,주연,0.0,102152.0,662430500.0,99477.0
12,칠드런 오브 맨,Children Of Men,2006,"영국,미국","SF,액션,스릴러",주연,160639200.0,19548.0,165881200.0,20244.0
13,인사이드 맨,Inside Man,2006,미국,"드라마,범죄",주연-댈튼 러셀역,0.0,311495.0,1882493500.0,295895.0
14,디레일드,Derailed,2005,미국,"드라마,스릴러",주연,,,,
15,킹 아더,King Arthur,2004,미국,사극,주연,0.0,1213584.0,5137581500.0,807850.0
16,머나먼 사랑,Beyond Borders,2003,미국,드라마,주연,0.0,15000.0,24525500.0,3698.0
17,죽어서야 잠들 것이다,I'll Sleep When I'm Dead,2003,"미국,영국","스릴러,드라마,범죄",주연-윌역,,,,
18,그린핑거스,Greenfingers,2000,"영국,미국","코미디,범죄,멜로/로맨스",주연,,,,
19,세컨드 사이트 2,Second Sight II: Hide And Seek,2000,영국,"범죄,드라마,미스터리",주연,,,,
20,세컨드 사이트,Second Sight,1999,영국,"범죄,드라마,미스터리",주연,,,,
