,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,덩케르크,Dunkirk,2017,"미국,영국","액션,드라마,스릴러,전쟁",주연,24576771848.0,2792705.0,24576771848.0,2792705.0
1,앤트로포이드,Anthropoid,2016,"영국,체코,프랑스","스릴러,전쟁",주연,3468500.0,529.0,3468500.0,529.0
2,프리 파이어,Free Fire,2016,"프랑스,영국","액션,범죄,드라마",주연,6497500.0,842.0,6497500.0,842.0
3,하트 오브 더 씨,In the Heart of the Sea,2015,미국,"액션,어드벤처,드라마",주연,6780844023.0,809827.0,6780844023.0,809827.0
4,트랜센던스,Transcendence,2014,미국,"SF,액션,드라마",주연,5478201500.0,696412.0,5478536500.0,696436.0
5,브로큰,Broken,2012,영국,드라마,주연-마이크역,17884000.0,2582.0,19381000.0,2810.0
6,레드라이트,Red Lights,2012,"스페인,미국","미스터리,스릴러",주연,355743500.0,49925.0,355743500.0,49925.0
7,리트릿,Retreat,2011,영국,스릴러,주연,,,,
8,인 타임,In Time,2011,미국,"SF,스릴러,액션",주연,4579554500.0,616943.0,4579554500.0,616943.0
9,사랑의 순간,The Edge of Love,2008,영국,"드라마,멜로/로맨스",주연,,,,
10,선샤인,Sunshine,2007,미국,"SF,스릴러",주연,0.0,104428.0,561125000.0,90208.0
11,보리밭을 흔드는 바람,The Wind That Shakes The Barley,2006,"영국,독일,아일랜드,이탈리아",드라마,주연-데미엔역,0.0,14190.0,85749200.0,13092.0
12,플루토에서 아침을,Breakfast On Pluto,2005,영국,드라마,주연,0.0,16000.0,100750500.0,15379.0
13,나이트 플라이트,Red-Eye,2005,미국,"스릴러,액션",주연,0.0,351518.0,1918951500.0,296670.0
14,진주 귀걸이를 한 소녀,Girl With A Pearl Earring,2003,영국,"드라마,멜로/로맨스",주연,0.0,95000.0,419580100.0,60770.0
15,28일 후,28 Days Later...,2002,"미국,프랑스,영국","공포(호러),스릴러",주연,0.0,65000.0,,
16,디스코 피그,Disco Pigs,2001,아일랜드,"범죄,멜로/로맨스",주연,,,,
17,온 디 에지,On The Edge,2001,아일랜드,드라마,주연,,,,
18,하우 해리 비컴 어 트리,How Harry Became a Tree,2001,"이탈리아,프랑스,영국,아일랜드","드라마,서부극(웨스턴)",주연,,,,
