,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,얼리맨,Early Man,2018,영국,애니메이션,주연-누스역(목소리),939872000.0,122359.0,939872000.0,122359.0
1,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
2,토르: 라그나로크,THOR: RAGNAROK,2017,미국,"액션,어드벤처,판타지,SF",주연,39248432595.0,4857152.0,39251492595.0,4857458.0
3,콩: 스컬 아일랜드,Kong: Skull Island,2017,미국,"액션,어드벤처,판타지",주연,13990563383.0,1689717.0,13990563383.0,1689717.0
4,하이-라이즈,High-Rise,2015,영국,스릴러,주연,192162100.0,24600.0,192162100.0,24600.0
5,크림슨 피크,Crimson Peak,2015,미국,"판타지,스릴러",주연,379765400.0,46735.0,380106400.0,46783.0
6,팅커벨: 해적요정,The Pirate Fairy,2014,미국,"애니메이션,어드벤처,판타지",주연-제임스 후크 목소리역(목소리),,,,
7,코리올라누스,Coriolanus,2013,영국,공연,주연,19644000.0,1415.0,19644000.0,1415.0
8,오직 사랑하는 이들만이 살아남는다,Only Lovers Left Alive,2013,"영국,독일,미국,프랑스","드라마,멜로/로맨스",주연-아담역,255170443.0,33818.0,266879843.0,35363.0
9,토르: 다크 월드,Thor: The Dark World,2013,미국,"액션,어드벤처,판타지",주연-로키역,22525808500.0,3039889.0,22525808500.0,3039889.0
10,더 딥 블루 씨,The Deep Blue Sea,2012,"영국,미국","멜로/로맨스,드라마",주연-프레디역,53600961.0,6956.0,54494961.0,7069.0
