,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,원스 어폰 어 타임 인 베니스,Once Upon a Time in Venice,2017,미국,"코미디,액션,스릴러",주연,,,150000.0,30.0
1,테이큰 3,Taken 3,2014,미국,"액션,범죄,스릴러",주연,16102014000.0,2006561.0,16102014000.0,2006561.0
2,헨젤과 그레텔: 마녀 사냥꾼 3D,Hansel and Gretel: Witch Hunters,2012,"미국,영국","액션,코미디,판타지",주연,2122205602.0,269510.0,2122205602.0,269510.0
3,테이큰 2,Taken 2,2012,프랑스,"액션,범죄,드라마",주연,17581098553.0,2308596.0,17581248553.0,2308646.0
4,브링잉 업 바비,Bringing Up Bobby,2011,미국,"드라마,코미디",감독,,,,
5,100 피트,100 Feet,2008,미국,"공포(호러),스릴러",주연-마니 왓슨역,505925500.0,76985.0,505925500.0,76985.0
6,더 웩크니스,The Wackness,2008,미국,"코미디,드라마",주연,,,,
7,더 텐,The Ten,2007,미국,코미디,주연,,,,
8,턴 더 리버,Turn The River,2007,미국,드라마,주연-케일리 설리반 역역,,,,
9,메이드,Made,2001,미국,"코미디,범죄,드라마",주연,,,,
10,러브 앤드 섹스,Love & Sex,2000,미국,코미디,주연-케이트역,0.0,2347.0,,
11,서커스,Circus,2000,"영국,미국","범죄,스릴러",주연,,,,
12,헌티드 힐,House On Haunted Hill,1999,미국,"공포(호러),스릴러",주연-에블린 스톡카드-프라이스역,0.0,238653.0,,
13,딥라이징,Deep Rising,1998,미국,"액션,공포(호러),SF",주연,0.0,12021.0,,
14,일루션,Lord Of Illusion,1995,미국,"공포(호러),스릴러",주연,0.0,5712.0,,
