,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인크레더블 스파이더,Spiders 3D,2013,미국,"SF,스릴러",주연,2000.0,1.0,2000.0,1.0
1,신밧드의 7대 모험,The 7 Adventures of Sinbad,2010,미국,"액션,판타지,어드벤처",주연,5180000.0,2040.0,5229000.0,2066.0
2,아이스 스파이더,Ice Spiders,2007,미국,"SF,공포(호러)",주연,,,,
3,배드 카르마,Bad Karma,2002,미국,"공포(호러),스릴러",주연,,,,
4,블랙우즈,Blackwoods,2002,"캐나다,독일","스릴러,드라마",주연,,,,
5,하트 오브 아메리카,Heart Of America,2002,"캐나다,독일",드라마,주연,,,,
6,하트 오브 아메리카,Heart Of America,2002,"캐나다,독일",드라마,주연,,,,
7,체인 오브 커맨드,Chain Of Command,2000,미국,"액션,어드벤처,스릴러",주연,,,,
8,크림슨 코드,Red Team,1999,미국,"액션,범죄,스릴러",주연,,,,
9,블랙 캣 런,Black Cat Run,1998,미국,"액션,미스터리,스릴러",주연,,,,
10,더블 플레이,Deadly Pursuits,1996,미국,스릴러,주연,,,,
