,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,앤트맨과 와스프,Ant-Man and the Wasp,2018,미국,"액션,어드벤처,SF",주연,,,47461815885.0,5447375.0
1,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
2,앤트맨,Ant-Man,2015,"미국,영국","액션,SF",주연,23528441937.0,2841699.0,23598522437.0,2847658.0
3,어드미션,Admission,2013,미국,코미디,주연-존 할시역,,,,
4,원더러스트,Wanderlust,2012,미국,코미디,주연-조지 역,,,,
5,아워 이디엇 브라더,Our Idiot Brother,2011,미국,"드라마,가족,코미디",주연,197192477.0,27010.0,197482977.0,27045.0
6,디너게임,Dinner for Schmucks,2010,미국,코미디,주연,,,,
7,에브리씽 유브 갓 하우 두 유 노우,How Do You Know,2010,미국,"멜로/로맨스,코미디",주연-조지 역역,,,,
8,알러뷰 맨,"I Love You, Man",2009,미국,"코미디,멜로/로맨스",주연,,,,
9,내 남자친구의 죽은 여자친구를 퇴치하는 법,Over Her Dead Body,2008,미국,"코미디,판타지,멜로/로맨스",주연,,,,
10,사람 만들기,Role Models,2008,"미국,독일",코미디,주연,,,,
11,더 텐,The Ten,2007,미국,코미디,주연,,,,
12,절대로 네 여자가 될 수 없을거야,I Could Never Be Your Woman,2007,미국,"코미디,멜로/로맨스",주연,,,,
13,디거스,Diggers,2006,미국,"코미디,드라마",주연,,,,
14,P.S 온리 유,P.S.,2004,미국,"코미디,드라마,판타지,멜로/로맨스",주연-새미 실버스타인역,577060.0,99.0,568000.0,97.0
15,앵커맨,Anchorman: The Legend Of Ron Burgundy,2004,미국,코미디,주연,,,,
16,사물의 모양,The Shape Of Things,2003,미국,드라마,주연,,,,
17,위대한 개츠비,The Great Gatsby,2000,"영국,미국","드라마,멜로/로맨스",주연,,,,
18,비포 뉴 이어,200 Cigarettes,1999,미국,"코미디,드라마",주연,,,,
19,내가 사랑한 사람,The Object Of My Affection,1998,미국,"코미디,드라마,멜로/로맨스",주연,,,,
20,러브! 퀵?,Overnight Delivery,1998,미국,"멜로/로맨스,코미디",주연,,,,
21,클루리스,Clueless,1995,미국,코미디,주연,0.0,4942.0,,
