,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,선샤인 온 리스,Sunshine on Leith,2013,영국,뮤지컬,주연,205571600.0,26675.0,206408200.0,26815.0
1,디어 한나,Tyrannosaur,2011,영국,드라마,주연-조셉역,71558800.0,9499.0,72943800.0,9713.0
2,워 호스,War Horse,2011,미국,"전쟁,드라마",조연,734302500.0,102195.0,734302500.0,102195.0
3,보이 A,Boy A,2007,영국,"드라마,멜로/로맨스,범죄",주연-테리역,34227382.0,4754.0,34905000.0,4865.0
4,트루 노스,True North,2006,"독일,아일랜드,영국","드라마,스릴러",주연,,,,
5,온 어 클리어 데이,On A Clear Day,2005,영국,드라마,주연,,,,
6,세상 밖으로,Out of This World,2003,일본,드라마,주연,,,,
7,영 아담,Young Adam,2003,영국,드라마,주연,0.0,27838.0,146296000.0,22769.0
8,키스 오브 라이프,Kiss Of Life,2003,"영국,프랑스",드라마,주연,,,,
9,막달레나 시스터즈,The Magdalene Sisters,2002,잉글랜드,드라마,감독,0.0,532.0,5096000.0,732.0
10,더 클레임,The Claim,2000,"영국,프랑스,캐나다","서부극(웨스턴),멜로/로맨스,드라마",주연,,,,
11,디센트 크리미널,Ordinary Decent Criminal,2000,"독일,아일랜드,영국,미국",범죄,주연,,,,
12,미스 줄리,Miss Julie,1999,미국,드라마,주연,,,,
13,내 이름은 조,My Name is Joe,1998,"프랑스,독일,영국","드라마,멜로/로맨스",주연,,,584000.0,88.0
