,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,라스트 맨: 지구를 마지막으로 본 남자,The Last Man,2018,아르헨티나,"드라마,스릴러",주연,43000.0,19.0,43000.0,19.0
1,라이즈 위 텔,Lies We Tell,2017,미국,스릴러,주연,,,2000.0,1.0
2,1944 워 히어로,CHOSEN,2016,미국,드라마,주연,5000.0,1.0,5000.0,1.0
3,유스,Youth,2015,"이탈리아,프랑스,스위스,영국",드라마,주연,675198600.0,86756.0,677152600.0,86984.0
4,바이 더 건,BY THE GUN,2014,미국,액션,주연,200000.0,20.0,200000.0,20.0
5,더 콩그레스,The Congress,2013,"이스라엘,독일,폴란드,룩셈부르크,프랑스,벨기에","애니메이션,SF,판타지",주연,9105000.0,1301.0,9203000.0,1315.0
6,굿바이 이디엇,A Farewell to Fools,2013,"루마니아,독일,벨기에","코미디,드라마",주연-요하니스 신부 역역,,,,
7,라스트 갓파더,The Last Godfather,2010,"한국,미국",코미디,주연-돈 카리니역,16832542997.0,2316099.0,18511991000.0,2541603.0
8,롱 턴 앳 타호,Wrong turn at Tahoe,2010,미국,"스릴러,범죄",주연-니노역,,,,
9,마이 섹시스트 이어,My Sexiest Year,2007,미국,"코미디,드라마",주연,,,,
10,크라임,A Crime,2006,"프랑스,미국","범죄,스릴러",주연,,,,
11,크라임 스프리,Crime Spree,2003,"프랑스,미국,캐나다,영국","액션,코미디,범죄",주연-프랭키 자메티역,,,,
12,테이킹 사이즈,Taking Sides,2001,"오스트리아 ,프랑스,독일,영국",드라마,주연,,,,
13,리틀 니키,Little Nicky,2000,미국,"판타지,코미디",주연,,,,
14,홀리 스모크,Holy Smoke,1999,"호주,미국","드라마,코미디",주연,,,,
15,룰루 온 더 브릿지,Lulu On The Bridge,1998,미국,"미스터리,드라마,멜로/로맨스",주연,,,,
16,캅 랜드,Cop Land,1997,미국,"범죄,스릴러,액션",주연-레이 돈랜역,0.0,42672.0,,
17,대강탈,City Of Industry,1997,미국,"범죄,스릴러",주연,,,,
18,블루 인 더 페이스,Blue In The Face,1996,미국,드라마,주연-오기 렌역,0.0,622.0,,
19,황혼에서 새벽까지,From Dusk Till Dawn,1996,미국,"공포(호러),스릴러,액션",주연,0.0,122863.0,,
20,카메론디아즈의 섹시블루,Head Above Water,1996,미국,"코미디,스릴러",주연,0.0,11657.0,,
21,율리시즈의 시선,The Gaze Of Odysseus,1995,"그리스,프랑스,이탈리아,독일,영국,유고슬라비아","드라마,전쟁",주연-A역,0.0,10480.0,1420000.0,208.0
22,영 아메리칸,The Young American,1993,영국,"드라마,범죄",주연,0.0,884.0,,
23,다저스 몽키,Monkey Trouble,1993,미국,"가족,코미디",주연,0.0,14790.0,,
24,스네이크 아이,Snake Eye,1993,미국,드라마,주연,0.0,16833.0,,
25,피아노,The Piano,1993,"호주,프랑스,뉴질랜드","드라마,멜로/로맨스",주연,0.0,475870.0,23583500.0,4744.0
26,저수지의 개들,Reservoir Dogs,1992,미국,"범죄,드라마,스릴러",주연,0.0,43909.0,,
27,악질 경찰,Bad Lieutenant,1992,미국,"범죄,드라마",주연,,,452000.0,89.0
28,예수의 마지막 유혹,The Last Temptation Of Christ,1988,미국,드라마,주연,0.0,2831.0,,
29,데쓰워치,Deathwatch / La Mort En Direct,1980,"프랑스,영국",드라마,주연,,,,
30,결투자들,The Duellists,1977,영국,전쟁,주연,,,293000.0,82.0
31,비열한 거리,Mean Streets,1973,미국,"드라마,범죄",주연,,,,
