,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,신과함께-인과 연,Along with the Gods: The Last 49 Days,2017,한국,"판타지,드라마",주연,,,88024241049.0,10538348.0
1,1987,1987: When the Day Comes,2017,한국,드라마,주연,58166310145.0,7231770.0,58166910145.0,7231830.0
2,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마",주연-강림역,115699634137.0,14410931.0,115706188137.0,14411525.0
3,"서서평, 천천히 평온하게",,2017,한국,다큐멘터리,기타-내레이션,876875400.0,123206.0,881663400.0,123958.0
4,PMC,,2017,한국,"액션,스릴러",주연,,,,
5,싱글라이더,A Single Rider,2016,한국,드라마,제작,2685519021.0,351276.0,2685519021.0,351276.0
6,터널,Tunnel,2016,한국,드라마,주연,57529484417.0,7120508.0,57530028417.0,7120780.0
7,아가씨,The Handmaiden,2016,한국,"스릴러,드라마",주연-백작역,35211229991.0,4287839.0,35219128991.0,4288750.0
8,아가씨(확장판),The Handmaiden,2016,한국,"스릴러,드라마",주연-백작역,,,106018200.0,13828.0
9,암살,Assassination,2015,한국,"액션,드라마",주연-하와이 피스톨역,98463132781.0,12705700.0,98467187781.0,12706663.0
10,허삼관,Chronicle of a Blood Merchant,2014,한국,드라마,"감독,주연-허삼관역,시나리오(각본),각색",7405415569.0,955175.0,7410215569.0,956103.0
11,군도: 민란의 시대,KUNDO : Age of the Rampant,2013,한국,"사극,액션",주연,36987755999.0,4774895.0,36990394499.0,4775811.0
12,롤러코스터,Fasten Your Seatbelt,2013,한국,코미디,"감독,시나리오(각본)",1913087600.0,270148.0,1913111600.0,270156.0
13,더 테러 라이브,"The Terror, LIVE",2013,한국,"범죄,기타",주연-윤영화역,39866712881.0,5583596.0,39869706381.0,5584139.0
14,베를린,The Berlin File,2012,한국,액션,주연-표종성역,52354931637.0,7166199.0,52357124637.0,7166532.0
15,577 프로젝트,Project 577,2011,한국,"코미디,드라마","주연-하정우역,기획진행",695765500.0,96079.0,695770500.0,96080.0
16,러브픽션,Love Fiction,2011,한국,"멜로/로맨스,코미디",주연-주월/마형사역,13200412500.0,1726202.0,13200551500.0,1726227.0
17,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,2011,한국,"범죄,드라마",주연-최형배 역,36538823500.0,4719872.0,36540327500.0,4720050.0
18,의뢰인,The Client,2011,한국,스릴러,주연,17797042500.0,2393086.0,17797131500.0,2393103.0
19,황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",주연-김구남역,16765970362.0,2167426.0,17497165500.0,2260512.0
20,평행이론,Parallel Life,2009,한국,"스릴러,액션,드라마,미스터리",조연,6905140883.0,937029.0,6793066000.0,921111.0
21,국가대표 완결판-못 다한 이야기,Take Off,2009,한국,"드라마,코미디",주연-밥/차헌태역,,,2647781500.0,357436.0
22,국가대표,Take Off,2009,한국,"드라마,액션,코미디",주연-밥/차헌태역,60896633308.0,8487894.0,57570773000.0,8035181.0
23,보트,The Boat,2009,"한국,일본","드라마,액션",주연-형구역,94173691.0,13904.0,93059500.0,13737.0
24,티파니에서 아침을,,2009,한국,멜로/로맨스,주연,,,,
25,잘 알지도 못하면서,Like You Know It All,2008,한국,"드라마,멜로/로맨스",조연-제주 - 노화가의 후배 역,276548483.0,39914.0,277419600.0,39984.0
26,멋진 하루,My Dear Enemy,2008,한국,"드라마,멜로/로맨스",주연,2554838451.0,390741.0,2586823171.0,397387.0
27,비스티 보이즈,Beastie Boys,2008,한국,드라마,주연,4785372500.0,727409.0,4785493000.0,719587.0
28,추격자,The Chaser,2008,한국,"범죄,스릴러,액션","주연-연쇄살인범, 지영민역",33943278500.0,5071619.0,33986959000.0,5046096.0
29,우리 생애 최고의 순간,Forever The Moment,2007,한국,드라마,조연-맞선남역,26151780425.0,4044582.0,26119898000.0,4018872.0
30,숨,Breath,2007,한국,드라마,주연,0.0,12293.0,49704800.0,7592.0
31,두 번째 사랑,Never Forever,2006,"한국,미국","드라마,멜로/로맨스",주연,0.0,80248.0,655033000.0,99430.0
32,구미호 가족,The Fox Family,2006,한국,"코미디,뮤지컬,판타지",주연,0.0,202990.0,877984800.0,141610.0
33,시간,Time,2006,한국,드라마,주연,0.0,28414.0,182699100.0,28021.0
34,용서받지 못한 자,The Unforgiven,2005,한국,드라마,주연,0.0,10647.0,71011000.0,10790.0
35,잠복근무,She's on Duty,2005,한국,"코미디,액션",조연,0.0,1914941.0,9590663500.0,1533225.0
36,슈퍼스타 감사용,Mr. Gam’s Victory,2004,한국,드라마,조연-김우열역,0.0,834706.0,4073017000.0,627199.0
37,마들렌,Madeleine,2002,한국,"드라마,멜로/로맨스",조연,0.0,365656.0,,
