,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,남편이 보는 앞에서 남편 부하와 24시간,A woman who wants to be held,2017,일본,드라마,주연,6000.0,1.0,6000.0,1.0
1,봉긋선 새엄마,Son-in-law is looking magic,2016,일본,"드라마,성인물(에로)",주연-유이역,6000.0,1.0,6000.0,1.0
2,농염한 불륜녀,Married woman hooker,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
3,기모노가 젖은 밤,Clean hair girl,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
4,누드모델과 화가,Love of shame~Nude model to serve in the body~,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
5,전남친에게 성희롱,Immoral Career woman,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
6,불륜조사보고서-실황,Sexy file 2,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
7,유부녀 성노예생활,Married woman of sex slaves~YUI HATANO~,2015,일본,성인물(에로),주연,8000.0,1.0,8000.0,1.0
8,변태커플 스와핑,A unfaithful relation,2015,일본,"드라마,성인물(에로)",주연-유이역,8000.0,1.0,8000.0,1.0
9,나츠미의 비밀여행,Sashimi,2015,대만,"코미디,멜로/로맨스",주연,,,,
10,유부녀워칭-무삭제,Wife Watching,2014,일본,성인물(에로),주연,50000.0,10.0,50000.0,10.0
11,욕망의 트라이앵글,HER CRIME HISTORY,2013,일본,"스릴러,드라마",주연,250000.0,50.0,250000.0,50.0
