,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,인랑,ILLANG : THE WOLF BRIGADE,2018,한국,"SF,액션",주연-이윤희역,,,6989287673,896435
1,골든슬럼버,Golden Slumber,2017,한국,"범죄,드라마",주연-선영역,11413087798.0,1387562.0,11412768798,1387508
2,해어화,"LOVE, LIES",2015,한국,"사극,드라마",주연,3768200759.0,485695.0,3768200759,485695
3,뷰티 인사이드,The Beauty Inside,2015,한국,"판타지,멜로/로맨스",주연-홍이수역,16155795131.0,2054297.0,16184831031,2057896
4,"서툴지만, 사랑",MIRACLE: Devil Claus' Love and Magic,2014,일본,멜로/로맨스,주연,13496000.0,1591.0,13496000,1591
5,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",주연,13570381911.0,1714803.0,13571515911,1715370
6,감시자들,Cold Eyes,2013,한국,"범죄,액션",주연-하윤주역,39380162179.0,5508017.0,39382418179,5508299
7,반창꼬,Love 911,2012,한국,멜로/로맨스,주연-미수역,17911274787.0,2475797.0,17911274787,2475797
8,"광해, 왕이 된 남자",Masquerade,2012,한국,"사극,드라마",주연-중전역,88900208769.0,12319542.0,88909386769,12323595
9,오직 그대만,Always,2011,한국,멜로/로맨스,주연-정화역,7591008500.0,1027622.0,7592288500,1027782
10,천국의 우편배달부,Postman To Heaven,2009,한국,"멜로/로맨스,판타지",주연-조하나역,644989646.0,96137.0,637892500,95060
11,달려라 자전거,Riding Away,2008,한국,"드라마,멜로/로맨스","주연-임하정역,작사/작곡/편곡-작사",21392500.0,3201.0,21392500,3201
12,아주 특별한 손님,Ad Lib Night,2006,한국,드라마,주연-이보경역,0.0,1956.0,12396000,1879
