,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,위자: 저주의 시작,Ouija: Origin of Evil,2016,미국,공포(호러),주연,2637517406.0,331877.0,2637517406.0,331877.0
1,데드 버드,Dead Birds,2004,미국,"공포(호러),스릴러,서부극(웨스턴)",주연,,,,
2,하니 베이비,Honey Baby,2003,"핀란드,독일,기타,러시아",드라마,주연,,,,
3,E.T. : 탄생 20주년 기념작,E.T. The Extra-Terrestrial : The 20th Anniversary,2002,미국,"SF,판타지,가족,어드벤처",주연,,,,
4,데드 인 워터,Dead In The Water,2002,미국,"범죄,스릴러",주연,,,,
5,올 더 프리티 호스,All The Pretty Horses,2000,미국,"드라마,멜로/로맨스,서부극(웨스턴)",주연,,,,
6,언더커버 킬러,Happy Face Murders,1999,미국,"범죄,드라마",주연,,,,
7,피버,Fever,1999,"영국,미국",스릴러,주연,,,,
8,백경,Moby Dick,1998,"영국,미국,호주","어드벤처,드라마",주연,,,,
9,밤셸,Bombshell,1997,미국,"SF,스릴러",주연,0.0,107.0,,
10,이티,E.T. The Extra-Terrestrial,1982,미국,"SF,가족,어드벤처,판타지",주연,0.0,618256.0,61315500.0,8039.0
