,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엽문4: 종극일전,Ip Man: The Final Fight,2013,홍콩,"드라마,액션",주연,16017000.0,2888.0,16017000.0,2888.0
1,사대명포,The Four,2012,중국,"판타지,액션",조연,10380000.0,5220.0,10380000.0,5220.0
2,모터웨이: 분노의 질주,Motorway,2012,"홍콩,중국","액션,드라마,범죄",주연,6149000.0,1220.0,6149000.0,1220.0
3,절색무기 : 네이키드 솔저,Naked Soldier,2012,홍콩,액션,주연,,,,
4,초한지 - 천하대전,White Vengeance,2011,"중국,홍콩",액션,주연-범증 역,710375000.0,94652.0,710375000.0,94652.0
5,정무문 : 100대 1의 전설,Legend of the Fist: The Return of Chen Zhen,2010,"홍콩,중국",액션,주연,872350500.0,117141.0,872350500.0,117141.0
6,피의 복수,Vengeance,2009,"홍콩,프랑스","액션,범죄,스릴러",주연,8000.0,1.0,932000.0,140.0
7,변절 - 반란의 시작,Turning Point,2009,홍콩,"액션,드라마",주연,,,,
8,플라스틱 시티,Plastic City,2008,"홍콩,일본,브라질,중국","범죄,스릴러",주연-유다역,32668085.0,4681.0,32180000.0,4611.0
9,말할 수 없는 비밀,Secret,2007,"대만,홍콩","멜로/로맨스,드라마",주연-샹륜 아버지 역,634104500.0,99106.0,1159619500.0,163855.0
10,노항정전,Mr. Cinema,2007,홍콩,"코미디,드라마",주연,,,,
11,성사,Dancing Lion,2007,홍콩,"코미디,드라마",주연,,,,
12,태양은 다시 떠오른다,The Sun Also Rises,2007,중국,드라마,주연,,,,
13,익사일,Exiled,2006,홍콩,"드라마,범죄",주연,0.0,2140.0,14614500.0,2279.0
14,이사벨라,Isabella,2006,홍콩,"멜로/로맨스,범죄",조연,0.0,1254.0,5628000.0,901.0
15,춘전화화동학회,"Mcdull, The Alumni",2006,홍콩,코미디,주연,,,,
16,흑백도,On the Edge,2006,홍콩,"범죄,액션",주연,,,,
17,정무가정,House Of Fury,2005,중국,"액션,코미디",주연,6000.0,1.0,6000.0,1.0
18,죽음의 다이어트,Slim Till Dead,2005,홍콩,"코미디,범죄,스릴러",주연,,,,
19,천방지축,Cat And Mouse,2003,홍콩,"액션,코미디",주연,0.0,0.0,,
20,무간도2 - 혼돈의 시대,INFERNAL AFFAIRS II,2003,홍콩,"범죄,드라마",주연,0.0,29120.0,14820500.0,2567.0
21,용호삼림,Colour Of The Truth,2003,홍콩,"액션,범죄",주연,,,,
22,괴수학원,U-Man,2002,홍콩,"액션,코미디",주연,,,,
23,상비,Princess D,2002,"홍콩,대만","멜로/로맨스,SF",주연,,,,
24,혼백오제,Demi-Haunted,2002,홍콩,"코미디,판타지,공포(호러)",주연,,,,
25,맥덜,My Life As Mcdull,2001,홍콩,애니메이션,주연,0.0,2807.0,19654000.0,3812.0
26,유나이티드 위 스탠드 앤 스윔,United We Stand And Swim,2001,홍콩,"코미디,멜로/로맨스",주연,,,,
27,유령인간,Visible Secret,2001,홍콩,"판타지,공포(호러),미스터리",주연,,,,
28,주투유로,Runaway,2001,홍콩,"액션,코미디",주연,,,,
29,순류역류,Time And Tide,2000,홍콩,"액션,스릴러,범죄",주연-지 삼촌역,0.0,6895.0,,
30,Q기연인,Queenie & King The Lovers,2000,홍콩,"드라마,멜로/로맨스",주연,,,,
31,개정귀사,Return To Dark,2000,홍콩,"드라마,멜로/로맨스",주연,,,,
32,고혹석양홍,Home For A Villain,2000,홍콩,액션,주연,,,,
