,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,룸메이트,Roommate,2013,일본,스릴러,주연,3088000.0,466.0,3093000.0,467.0
1,두부요괴,Little Ghostly Adventures Of The Tofu Boy,2011,일본,애니메이션,주연(목소리),12517000.0,1980.0,12517000.0,1980.0
2,와일드 세븐,Wild 7,2011,일본,"액션,범죄",주연-혼마 유키역,,,,
3,연애희곡,LOVE SCENARIO,2010,일본,"드라마,멜로/로맨스",주연,,,816000.0,136.0
4,이겨라 승리호,Yatterman,2009,일본,"액션,코미디",주연,,,0.0,0.0
5,천사,Angel,2006,일본,"멜로/로맨스,판타지",주연-천사역,,,241000.0,58.0
6,불량공주 모모코,Kamikaze Girls,2004,일본,드라마,주연,0.0,20388.0,120445500.0,18782.0
7,음양사2,The Yin-Yang Master,2003,일본,사극,주연,0.0,10362.0,201500.0,31.0
8,스트로베리 온 더 숏케익,Strawberry On The Shortcake,2001,일본,드라마,주연,,,,
9,학원괴담,School Day Of The Dead,2000,일본,"공포(호러),스릴러",주연,,,,
