,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,에이리언: 커버넌트,Alien: Covenant,2017,"미국,호주,뉴질랜드","SF,스릴러",주연,10745826264.0,1307226.0,10745826264.0,1307226.0
1,브림스톤,Brimstone,2016,"네덜란드,프랑스,독일,벨기에,스웨덴,영국","미스터리,스릴러,서부극(웨스턴)",주연,,,6600.0,1.0
2,지니어스,GENIUS,2016,"영국,미국",드라마,주연-F. 스콧어니스트 헤밍웨이 역 피츠제럴드 역역,209372437.0,27167.0,209700437.0,27224.0
3,피트니스 스캔들,Results,2015,미국,드라마,주연,,,,
4,더 로버,The Rover,2014,"호주,미국",액션,주연,,,62660.0,19.0
5,우리가 사랑한 시간,Breathe In,2013,미국,멜로/로맨스,주연,28507600.0,4126.0,28507600.0,4126.0
6,아이언맨 3,Iron Man 3,2013,미국,"액션,어드벤처,SF",주연-올드리치 킬리언 역,70806191000.0,9001309.0,70806364000.0,9001331.0
7,미워하고 사랑하고,Hateship Loveship,2013,미국,드라마,주연,,,270000.0,54.0
8,로우리스: 나쁜 영웅들,Lawless,2012,미국,"액션,범죄",주연,468141666.0,66468.0,468390166.0,66504.0
9,락아웃: 익스트림미션,Lockout,2012,"미국,프랑스","SF,액션,스릴러",주연-스노우역,3373780000.0,462176.0,3373780000.0,462176.0
10,프로메테우스,Prometheus,2012,미국,"SF,스릴러",주연,8600146099.0,971482.0,8600146099.0,971482.0
11,봄의 멜로디,33 Postcards,2011,"호주,중국",드라마,주연,270000.0,54.0,270000.0,54.0
12,저스티스,Seeking Justice,2011,미국,"액션,드라마,스릴러",주연,329594500.0,44546.0,329594500.0,44546.0
13,애니멀 킹덤,Animal Kingdom,2010,호주,"스릴러,범죄",주연,2193000.0,279.0,2193000.0,279.0
14,돈비 어프레이드 : 어둠 속의 속삭임,Don't Be Afraid Of The Dark,2010,"미국,호주,멕시코","공포(호러),스릴러",주연-알렉스 허스트 역,521600500.0,70506.0,523576000.0,70798.0
15,인 허 스킨,In Her Skin,2009,호주,"드라마,스릴러",주연,,,,
16,윙드 크리처스,Winged Creatures,2008,미국,"범죄,드라마",주연,,,,
17,트레이터,Traitor,2008,미국,"액션,범죄,드라마",주연,,,,
18,데스 디파잉:어느 마술사의 사랑,Death Defying Acts,2007,"영국,호주","드라마,멜로/로맨스,스릴러",주연-해리 후디니 역,798922500.0,124127.0,797536500.0,120869.0
19,퍼스트 스노우,First Snow,2006,미국,"드라마,스릴러",주연,,,,
20,프로포지션,The Proposition,2005,"호주,영국","범죄,드라마,서부극(웨스턴)",주연,,,,
21,투 브라더스,Two Brothers,2004,"프랑스,영국","드라마,가족,어드벤처",주연-에이든 맥로리역,0.0,148899.0,876487000.0,144859.0
22,타임 머신,The Time Machine,2002,미국,SF,주연-알렉산더 하트겐 역,0.0,238978.0,,
23,하드 워드,The Hard Word,2002,"호주,영국","범죄,스릴러",주연,,,,
24,틸 휴먼 보이시스 웨이크 어스,Till Human Voices Wake Us,2001,호주,드라마,주연,,,,
25,메멘토,Memento,2000,미국,"미스터리,범죄,스릴러",주연,0.0,197466.0,134244300.0,17216.0
26,블러드 솔저,Ravenous,1999,"체코,영국,미국","공포(호러),스릴러",주연,,,,
27,슬리핑: 다운 라이프,A Slipping-Down Life,1999,미국,"드라마,멜로/로맨스",주연,,,,
28,LA컨피덴셜,L.A Confidential,1997,미국,"드라마,미스터리,범죄,스릴러",조연-에드 엑슬리역,0.0,248287.0,,
