,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극장판 유희왕 더 다크 사이드 오브 디멘션즈,Yu-Gi-Oh! : THE DARK SIDE OF DIMENSIONS,2016,일본,애니메이션,조연-조이역(목소리),253214200.0,31805.0,256266200.0,32117.0
1,극장판 루팡 3세 VS 명탐정 코난,Lupin The 3rd VS Detective Conan The Movie,2013,일본,애니메이션,주연-루팡 3세 목소리 역(목소리),1585872205.0,225842.0,1585872205.0,225842.0
2,명탐정 코난: 11번째 스트라이커,Detective Conan Movie 16 - The Eleventh Striker,2012,일본,애니메이션,주연-남도일 (한국어 목소리)역(목소리),3363777000.0,524914.0,3365337000.0,525169.0
3,원피스 3D : 밀짚모자 체이스,One Piece 3D: Mugiwara Chase,2011,일본,"애니메이션,어드벤처,액션",주연(목소리),91648500.0,13475.0,91648500.0,13475.0
4,명탐정 코난 : 침묵의 15분,Detective Conan: Quarter Of Silence,2011,일본,애니메이션,주연-남도일 (한국어목소리)역(목소리),4212918000.0,644634.0,4212992000.0,644652.0
5,명탐정 코난: 천공의 난파선,Detective Conan: The Lost Ship In The Sky,2010,일본,"애니메이션,가족",주연-남도일역(목소리),4065925171.0,628423.0,4002088500.0,618420.0
6,다트,Dart,2010,한국,애니메이션,주연,,,3734.0,16.0
7,명탐정 코난:감벽의 관,Detective Conan: Jolly Roger in the Deep Azure,2007,일본,애니메이션,주연-남도일 한국어 더빙역(목소리),1800327000.0,242166.0,1800316000.0,242164.0
8,불휘,The Root,2007,한국,애니메이션,투자,,,,
9,명탐정 코난:은빛 날개의 마술사,Detective Conan : Magician of the Silver Key,2004,일본,애니메이션,주연(목소리),1158686500.0,176483.0,1158761500.0,176495.0
10,날으는 돼지 - 해적 마테오,MATEO,2004,한국,애니메이션,"주연(목소리),투자",0.0,125000.0,39599000.0,6495.0
11,명탐정 코난:베이커가의 망령,Detective Conan: The Phantom Of Baker Street,2002,일본,애니메이션,투자,711270500.0,124139.0,717454500.0,123323.0
12,철인 사천왕,The Steel Force,1998,한국,"애니메이션,액션,SF",주연-건역(목소리),0.0,9315.0,,
13,벅스 라이프,A Bug's Life,1998,미국,"애니메이션,가족",주연-플릭 더빙 목소리역(목소리),0.0,369032.0,3058000.0,417.0
