,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,변산,Sunset in My Hometown,2017,한국,드라마,조연,128019800.0,15896.0,4013832273.0,489993.0
1,바람 바람 바람,What a Man Wants,2017,한국,코미디,조연,9784445375.0,1194239.0,9784385375.0,1194229.0
2,청년경찰,Midnight Runners,2017,한국,액션,조연-영춘역,44381150516.0,5653270.0,44382020516.0,5653444.0
3,밀정,The Age of Shadows,2016,한국,액션,조연-심상도역,61269783831.0,7500420.0,61270079831.0,7500457.0
4,미씽: 사라진 여자,MISSING,2015,한국,미스터리,조연-진혁역,8881616256.0,1153109.0,8882181256.0,1153201.0
5,럭키,LUCK-KEY,2015,한국,코미디,조연-권희락역,56444461256.0,6975290.0,56445023256.0,6975571.0
6,대배우,THE GREAT ACTOR,2015,한국,코미디,단역-미지 부역,1245426228.0,169855.0,1246200228.0,169984.0
7,BiFan2015 판타스틱 단편 걸작선 6,BiFan2015 Fantastic Short Films 6,2015,기타,기타,감독,,,,
8,현도가,Frog,2015,한국,드라마,감독,,,,
9,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,조연-유령역,32373120927.0,4015361.0,32373120927.0,4015361.0
10,내비게이션,NAVIGATION,2013,한국,"공포(호러),스릴러",주연,4414000.0,703.0,4414000.0,703.0
11,"미안해, 고마워",Sorry and Thank You,2011,한국,드라마,주연-변호사역,73843000.0,9998.0,73935000.0,10011.0
12,써니,Sunny,2011,한국,"드라마,코미디",단역-현재 형사역,54034235100.0,7362467.0,54038534700.0,7363139.0
13,"밥, 상",The Last Meal,2011,한국,"드라마,판타지",주연-정원역,,,496250.0,397.0
14,그림자 살인,Private eye,2009,한국,"미스터리,스릴러,사극,범죄",단역-의생역,12805808556.0,1914779.0,12659065000.0,1892467.0
15,과속스캔들,Scandal Makers,2008,한국,코미디,단역-CF 감독역,53940101534.0,8245523.0,53801341400.0,8223342.0
16,와니와 준하,Wanee And Junah,2001,한국,드라마,단역-동화부원역,0.0,101879.0,,
