,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,몽키킹2: 서유기 여정의 시작,Monkey King The Legend Begins,2016,중국,"액션,판타지",주연,49077600.0,11156.0,49195600.0,11174.0
1,5일의 마중,Coming Home,2014,중국,"멜로/로맨스,드라마",주연,409337100.0,54670.0,411147100.0,54960.0
2,일보지요: 상하이 살인사건,Gone with the Bullets,2014,중국,"액션,어드벤처,코미디",주연,,,895000.0,97.0
3,상하이,Shanghai,2010,미국,"드라마,미스터리,멜로/로맨스",주연,2039939000.0,269157.0,2039939000.0,269157.0
4,한니발 라이징,Hannibal Rising,2006,미국,"스릴러,드라마,범죄",주연,0.0,268474.0,1569132800.0,250060.0
5,황후화,Curse Of The Golden Flower,2006,홍콩,"액션,드라마",주연,0.0,954387.0,5646349700.0,897678.0
6,마이애미 바이스,Miami Vice,2006,미국,액션,주연-이사벨라역,0.0,500806.0,2712575500.0,420845.0
7,게이샤의 추억,Memoirs of a Geisha,2005,미국,드라마,주연-하츠모모역,0.0,983635.0,5337838000.0,849277.0
8,에로스,Eros,2004,"미국,프랑스,이탈리아,중국,룩셈부르크,영국","드라마,멜로/로맨스",주연,0.0,30389.0,189042500.0,28827.0
9,공리의 연인,Zhou Yu's Train,2002,"중국,홍콩","드라마,멜로/로맨스",주연,,,,
10,표량마마,Breaking The Silence,1999,중국,드라마,주연,,,0.0,0.0
11,시황제 암살,The Emperor And The Assassin,1998,"중국,프랑스,일본",드라마,주연,,,,
12,차이니즈박스,Chinese Box,1997,미국,드라마,주연,0.0,32662.0,,
13,풍월,Temptress Moon,1996,중국,"드라마,사극",주연,0.0,15494.0,,
14,트라이어드,Shanghai Triad,1995,"중국,프랑스","드라마,범죄",주연-징바오역,0.0,2667.0,,
15,인생,To Live,1994,중국,드라마,주연,0.0,26688.0,152000.0,50.0
16,서초패왕,The Great Conaueror'S,1994,홍콩,사극,주연,0.0,15824.0,,
17,천룡팔부,Tin Lun Pa Pu,1994,홍콩,액션,주연,0.0,77936.0,,
18,패왕별희 디 오리지널,Farewell My Concubine,1993,홍콩,멜로/로맨스,주연-주샨역,9318400.0,1085.0,9318400.0,1085.0
19,화혼,La Peintre,1993,"홍콩,중국",드라마,주연,0.0,3535.0,,
20,패왕별희,Farewell My Concubine,1993,홍콩,멜로/로맨스,주연-주샨역,0.0,247454.0,0.0,0.0
21,속 서태후,The Empress Dowager,1992,홍콩,사극,주연,0.0,833.0,,
22,귀주 이야기,The Story Of Quiju,1992,중국,드라마,주연,0.0,3611.0,177000.0,59.0
23,홍등,Raise The Red Lantern,1991,중국,드라마,주연,0.0,19409.0,527000.0,115.0
24,도협2,賭俠 2,1991,홍콩,"액션,코미디",주연,0.0,45478.0,,
25,국두,Judou,1990,중국,드라마,주연,0.0,91400.0,844000.0,189.0
26,진용,A Terra-Cotta Warrior,1989,홍콩,"사극,판타지",주연,0.0,92401.0,,
27,붉은 수수밭,Red Sorghum,1988,중국,"드라마,전쟁",주연,0.0,185795.0,5393000.0,2099.0
