,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,탐정: 리턴즈,The Accidental Detective 2: In Action,2018,한국,"코미디,범죄",주연-강대만역,22895877220.0,2677442.0,26909481678.0,3152872.0
1,두번 할까요?(가제),,2018,한국,"멜로/로맨스,코미디",주연,,,,
2,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,2015,한국,"코미디,범죄",주연,20463956973.0,2625686.0,20463956973.0,2625686.0
3,그림자 애인,SHADOWS OF LOVE,2012,중국,"멜로/로맨스,드라마",주연,6546500.0,1013.0,6546500.0,1013.0
4,차이니즈 조디악,12 Chinese Zodiac Heads,2012,중국,"액션,어드벤처",주연,2211711500.0,315305.0,2211770500.0,315314.0
5,통증,Pain,2011,한국,"멜로/로맨스,드라마",주연-남순역,5246996000.0,700272.0,5246996000.0,700272.0
6,포화속으로,71-Into The Fire,2010,한국,"드라마,전쟁","주연-가짜 학도병, 구갑조역",24217600897.0,3385706.0,23831968600.0,3330326.0
7,슬픔보다 더 슬픈 이야기,More Than Blue,2009,한국,"멜로/로맨스,드라마",주연-케이역,4774850499.0,724107.0,4724214000.0,715800.0
8,숙명,Fate,2008,한국,"드라마,액션",주연,5680873500.0,858215.0,5680873500.0,846903.0
9,청춘만화,Almost Love,2006,한국,"코미디,멜로/로맨스",주연,0.0,2066354.0,9785168000.0,1567514.0
10,야수,Running Wild,2005,한국,액션,주연,0.0,1016152.0,5339725500.0,837011.0
11,신부수업,"Love, So Divine",2004,한국,"드라마,멜로/로맨스",주연,0.0,1242476.0,4255753000.0,675521.0
12,말죽거리 잔혹사,Spirit Of Jeet Keun Do - Once Upon A Time In High School,2003,한국,"액션,멜로/로맨스",주연-현수역,0.0,3115767.0,3837152000.0,604969.0
13,동갑내기 과외하기,My Tutor Friend,2003,한국,코미디,주연-지훈역,,4937573.0,727000.0,118.0
14,데우스 마키나 기계의 신,Deus Machina God of Machine,2003,한국,SF,주연,,,,
15,일단뛰어,Make It Big,2002,한국,"액션,코미디",주연,,220205.0,,
16,화산고,Volcano High,2001,한국,"액션,코미디,판타지",주연-송학림 역,0.0,586576.0,,
