,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"제자도 - 제자,옥한흠2",,2016,한국,다큐멘터리,주연,67442000.0,9533.0,67442000.0,9533.0
1,"제자, 옥한흠",THE DISCIPLE JOHN OAK,2014,한국,다큐멘터리,주연,366587200.0,50274.0,366823200.0,50392.0
2,나의 선택-잊혀진 가방 그 못다한 이야기,The Forgotten Bag,2011,한국,다큐멘터리,주연,45610000.0,6782.0,45610000.0,6782.0
3,잊혀진 가방,The Forgotten Bag,2010,한국,다큐멘터리,주연(목소리),60758444.0,9049.0,59804500.0,8905.0
4,마지막 선물,His Last Gift,2007,한국,드라마,조연,1748517833.0,272890.0,1740290500.0,265362.0
5,용의주도 미스신,Miss Gold Digger,2007,한국,"멜로/로맨스,코미디",주연,95329500.0,595872.0,3743082000.0,579973.0
6,날아라 허동구,Bunt,2007,한국,"가족,드라마",주연,0.0,396811.0,2333597000.0,378161.0
7,김관장 대 김관장 대 김관장,Master KIMs,2006,한국,코미디,주연,0.0,1025618.0,5575404600.0,925661.0
8,오로라 공주,Princess Aurora,2005,한국,"범죄,스릴러",조연,0.0,946372.0,5365343000.0,830538.0
9,시실리 2km,To Catch A Virgin Ghost,2004,한국,코미디,주연,0.0,1987380.0,8049487000.0,1263196.0
10,리워드,Reward,2003,한국,드라마,주연-준기역,,,,
11,크리스마스에 눈이 내리면,If It Snows On Christmas,1998,한국,드라마,주연,0.0,19731.0,,
12,영구와 공룡 쮸쮸,Young-Gu And Princess Zzu Zzu,1993,한국,"드라마,액션,코미디",아트디렉터,0.0,1872.0,,
