,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"나의 위대한 친구, 세잔",Cezanne et moi,2016,프랑스,드라마,주연,149434500.0,20434.0,149962500.0,20535.0
1,챔피언 프로그램,The Program,2015,"영국,프랑스",드라마,주연,48323400.0,6301.0,48323400.0,6301.0
2,블러드 타이즈,Blood Ties,2013,"프랑스,미국","범죄,액션,드라마",감독,41526500.0,5828.0,41526500.0,5828.0
3,워 오브 더 버튼 : 작은 영웅들,War of the Buttons,2011,프랑스,"어드벤처,가족",주연,,,30000.0,10.0
4,프렌즈 : 하얀 거짓말,Little White Lies,2010,프랑스,"드라마,코미디",감독,35658700.0,5073.0,35658700.0,5073.0
5,스파이(들),Spy(ies),2009,"프랑스,영국","드라마,멜로/로맨스,스릴러",주연,,,197000.0,25.0
6,라이벌,Rivals,2007,프랑스,"액션,범죄",주연,,,,
7,함께 있을 수 있다면,"Hunting and Gathering / Ensemble, C'Est Tout",2007,프랑스,"드라마,멜로/로맨스",주연,,,,
8,텔 노 원,Tell No One,2006,프랑스,"드라마,스릴러",감독,,,,
9,러브 미 이프 유 대어,Love Me If You Dare(Jeux D'Enfants),2004,프랑스,멜로/로맨스,주연,0.0,54000.0,72375500.0,11266.0
10,나의 우상,Whatever You Say,2002,프랑스,코미디,"감독,주연",,,,
11,비독,Vidocq,2001,프랑스,"액션,판타지",주연,0.0,103650.0,,
12,부전자전,Je Regle Mon Pas Sur Le Pas De Mon Pere,1999,프랑스,코미디,주연,,,,
