,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,화장,Revivre,2014,한국,드라마,주연-추은주역,1073964100.0,142519,1074486100.0,142609.0
1,또 하나의 약속,Another Family,2013,한국,드라마,주연,3536495400.0,497994,3541402400.0,498670.0
2,사랑해! 진영아,"My Dear Girl, Jin-young",2012,한국,드라마,주연,34675000.0,4936,34720000.0,4941.0
3,인류멸망 보고서,Doomsday Book,2011,한국,SF,주연,704635000.0,97916,704635000.0,97916.0
4,풍산개,Poongsan,2011,한국,드라마,주연-인옥역,5395019500.0,714102,5395201500.0,714136.0
5,사랑이 무서워,Shotgun Love,2011,한국,"코미디,멜로/로맨스",주연,3020062500.0,402876,3020062500.0,402876.0
6,하하하,Hahaha,2010,한국,"드라마,멜로/로맨스",주연,435417823.0,57234,434011200.0,57029.0
7,오감도,Five Senses Of Eros,2009,한국,"드라마,멜로/로맨스",주연-segment 3 - 김미진역,3107441952.0,443462,3074373500.0,438808.0
8,미인도,Portrait of a Beauty,2008,한국,"사극,드라마,멜로/로맨스",주연-신윤복역,15531621371.0,2325715,15655329500.0,2342579.0
9,서양 골동 양과자점 앤티크,Antique,2008,한국,드라마,단역-우정출연-진혁 여친 4 역,7367880833.0,1173310,7420479500.0,1181332.0
10,가면,Rainbow Eyes,2007,한국,"스릴러,미스터리",주연-여형사 박은주역,285544500.0,322342,2139483000.0,318614.0
11,하류인생,Low Life,2004,한국,액션,주연-박혜옥역,0.0,550000,1471268000.0,224856.0
12,2009로스트메모리즈,2009 Lost Memories,2002,한국,"SF,액션,드라마",주연-특별출연-유치원 선생역,,856150,,
13,아프리카,A.F.R.I.K.A,2002,한국,드라마,주연-소현역,,9419,,
14,스물넷,My Beautiful Days,2001,한국,"드라마,멜로/로맨스",조연-현지역,,794,,
15,해변으로가다,Bloody Beach,2000,한국,"공포(호러),미스터리,스릴러",단역-우정출연-도입부 - 도연역,0.0,84227,,
16,여고괴담 두번째 이야기,Memento Mori,1999,한국,공포(호러),주연-민아역,0.0,148151,1274000.0,183.0
