,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,기묘한 가족,,2018,한국,코미디,주연,,,,
1,어느날,Oneday,2017,한국,멜로/로맨스,주연-강수역,1845841582.0,234681.0,1846581582.0,234829.0
2,살인자의 기억법 : 새로운 기억,MEMOIR OF A MURDERER,2016,한국,"범죄,스릴러",주연,19563000.0,2958.0,19563000.0,2958.0
3,살인자의 기억법,MEMOIR OF A MURDERER,2016,한국,"범죄,스릴러",주연-태주역,21375287492.0,2658589.0,21375287492.0,2658589.0
4,판도라,Pandora,2016,한국,"드라마,스릴러",주연,36064461064.0,4583645.0,36067171064.0,4584800.0
5,도리화가,THE SOUND OF A FLOWER,2015,한국,"사극,드라마",주연,2246950339.0,317505.0,2246950339.0,317505.0
6,무뢰한,The Shameless,2014,한국,멜로/로맨스,주연,3262087431.0,414626.0,3262380431.0,414663.0
7,누구에게나 찬란한,Glory For Everyone,2014,한국,다큐멘터리,주연-내레이션역(목소리),143413900.0,21002.0,143413900.0,21002.0
8,해적: 바다로 간 산적,The Pirates,2014,한국,어드벤처,주연,66370682706.0,8666046.0,66372140706.0,8666208.0
9,아마존의 눈물,Tears in the Amazon,2010,한국,다큐멘터리,주연(목소리),658632935.0,105886.0,649288000.0,104367.0
10,폭풍전야,Lovers Vanished,2009,한국,"드라마,멜로/로맨스",주연,393501207.0,52597.0,387323000.0,51760.0
11,미인도,Portrait of a Beauty,2008,한국,"사극,드라마,멜로/로맨스",주연,15531621371.0,2325715.0,15655329500.0,2342579.0
12,모던보이,Modern Boy,2008,한국,"드라마,멜로/로맨스,미스터리",주연,4971421000.0,758473.0,4992409000.0,762370.0
13,후회하지 않아,No Regret,2006,한국,"드라마,멜로/로맨스",주연,0.0,43348.0,264706500.0,42029.0
