,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,탐정: 리턴즈,The Accidental Detective 2: In Action,2018,한국,"코미디,범죄",단역,22895877220.0,2677442.0,26909481678.0,3152872.0
1,신과함께-인과 연,Along with the Gods: The Last 49 Days,2017,한국,"판타지,드라마",주연,,,88024235049.0,10538351.0
2,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마",조연-수홍역,115699634137.0,14410931.0,115706188137.0,14411525.0
3,쓰리 썸머 나잇,Three Summer Night,2014,한국,코미디,주연,616132846.0,77621.0,616132846.0,77621.0
4,후궁 : 제왕의 첩,The Concubine,2012,한국,"사극,멜로/로맨스",주연-성원대군역,19330302500.0,2636320.0,19330736000.0,2636385.0
5,고양이: 죽음을 보는 두 개의 눈,The Cat,2011,한국,공포(호러),주연-준석역,4779530000.0,672071.0,4780632000.0,672340.0
6,로맨틱 헤븐,Romantic Heaven,2011,한국,드라마,주연-동지욱역,542739500.0,73729.0,542739500.0,73729.0
7,반가운 살인자,Hello Murderer,2010,한국,"코미디,스릴러",주연,4347073175.0,599176.0,4285830500.0,590531.0
8,카페 서울,Cafe Seoul,2009,"일본,한국",드라마,주연,2359647.0,359.0,2322600.0,353.0
9,국가대표 완결판-못 다한 이야기,Take Off,2009,한국,"드라마,코미디",주연-최흥철역,,,2647781500.0,357436.0
10,국가대표,Take Off,2009,한국,"드라마,액션,코미디",주연-최흥철역,60896633308.0,8487894.0,57570773000.0,8035181.0
11,오감도,Five Senses Of Eros,2009,한국,"드라마,멜로/로맨스",주연- 지운역,3107441952.0,443462.0,3074373500.0,438808.0
12,달콤한 거짓말,Lost & Found,2008,한국,"멜로/로맨스,코미디",주연,3116983744.0,470256.0,3122965500.0,471310.0
13,"동거, 동락",Happy Together,2007,한국,"멜로/로맨스,드라마",주연,32142500.0,5224.0,32156500.0,5226.0
14,후회하지 않아,No Regret,2006,한국,"드라마,멜로/로맨스",주연,0.0,43348.0,264706500.0,42029.0
15,아파트,A.P.T,2006,한국,공포(호러),조연-신정수역,0.0,644893.0,3460497800.0,540539.0
16,사과,The Apple,2005,한국,드라마,주연,,,,
