,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,물괴,Monstrum,2018,한국,"액션,사극",주연-윤겸역,,,,
1,조선명탐정: 흡혈괴마의 비밀,Detective K: Secret of the Living Dead,2017,한국,"사극,어드벤처,코미디",주연,19823058764.0,2444180.0,19822774764.0,2444132.0
2,브이아이피,V.I.P.,2017,한국,"범죄,드라마",주연,10956621835.0,1373316.0,10956621835.0,1373316.0
3,하루,A Day,2017,한국,스릴러,주연-준영역,9072737842.0,1129609.0,9072737842.0,1129609.0
4,판도라,Pandora,2016,한국,"드라마,스릴러",주연,36064461064.0,4583645.0,36067171064.0,4584800.0
5,특별수사: 사형수의 편지,Proof of Innocence,2015,한국,"범죄,드라마",주연-최필재역,9929947065.0,1241899.0,9932284065.0,1243065.0
6,대배우,THE GREAT ACTOR,2015,한국,코미디,단역-까메오역,1245426228.0,169855.0,1246200228.0,169984.0
7,조선명탐정 : 사라진 놉의 딸,Detective K : Secret of the Lost Island,2014,한국,"사극,코미디,어드벤처",주연,30456879428.0,3872015.0,30456879428.0,3872015.0
8,간첩,The Spies,2012,한국,"드라마,코미디,액션",주연-김 과장역,9316548500.0,1310895.0,9316548500.0,1310895.0
9,연가시,Deranged,2012,한국,"공포(호러),SF",주연-재혁역,32175400664.0,4515833.0,32175400664.0,4515833.0
10,페이스메이커,PaceMaker,2011,한국,드라마,주연-주만호 역,3443753000.0,467697.0,3443753000.0,467697.0
11,조선명탐정 : 각시투구꽃의 비밀,Detective K : Secret of Virtuous Widow,2010,한국,"코미디,액션",주연-명탐정역,35841769500.0,4786259.0,35841769500.0,4786259.0
12,파괴된 사나이,Man Of Vendetta,2010,한국,"드라마,스릴러",주연-주영수역,7820538614.0,1030285.0,7692092100.0,1012310.0
13,내 사랑 내 곁에,Closer To Heaven,2009,한국,"드라마,멜로/로맨스",주연-백종우역,15764312409.0,2160265.0,15584755500.0,2135509.0
14,무방비도시,Open City,2007,한국,"범죄,액션",주연,10591349944.0,1613728.0,10591149500.0,1600856.0
15,리턴,Wide Awake,2007,한국,"미스터리,스릴러",주연,0.0,677939.0,4271881500.0,641852.0
16,거울속으로,Into the Mirror,2003,한국,공포(호러),주연,0.0,719234.0,,
17,스턴트맨,Stunt Man,2003,한국,액션,주연,,,,
18,소름,Gooseflesh,2001,한국,공포(호러),주연,0.0,78545.0,280000.0,61.0
