,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,브링 홈: 아버지의 땅,Bringing Tibet Home,2013,"한국,미국",다큐멘터리,주연-내레이션역(목소리),117372200.0,15025.0,117372200.0,15025.0
1,종려나무 숲,The Windmill Palm Grove,2005,한국,드라마,주연,0.0,22895.0,88488000.0,14323.0
2,낭만자객,Crazy Assassins,2003,한국,코미디,주연,0.0,940134.0,312851500.0,48744.0
3,나비,Mr. Butterfly,2003,한국,드라마,주연,0.0,612558.0,,
4,패밀리,Family,2002,한국,코미디,주연,,134310.0,,
5,이것이 법이다,Out Of Justice,2001,한국,스릴러,주연,0.0,78828.0,,
6,수호천사,,2001,한국,드라마,주연,,,,
7,토요일 오후2시,"Saturday, 2 P.M",1998,한국,"드라마,코미디",주연,0.0,23020.0,,
8,마지막 방위,The Last Defense,1997,한국,"액션,코미디",주연,0.0,14223.0,,
9,3인조,Trio,1997,한국,"액션,코미디",주연-문역,0.0,36594.0,120000.0,20.0
10,홀리데이 인 서울,Holiday Inn Seoul,1997,한국,멜로/로맨스,주연,0.0,36474.0,,
11,귀천도,The Gate Of Destiny,1996,한국,"사극,액션,SF",주연,0.0,200570.0,,
12,돌아온 홍길동,Returned Hero Hong Kil-Dong,1995,한국,애니메이션,주연,0.0,204240.0,,
13,개같은 날의 오후,A Hot Roof,1995,한국,"드라마,코미디",조연-달수/도둑 2 역,0.0,274568.0,,
14,오렌지나라,Orange Country,1993,한국,"드라마,멜로/로맨스",주연,0.0,4246.0,,
15,마음의 파수꾼,A Keeper Of The Heart,1992,한국,"멜로/로맨스,드라마",주연,0.0,1831.0,,
16,가을여행,Autumn Journey,1991,한국,"드라마,멜로/로맨스",주연-종수역,0.0,24848.0,,
17,10대의 반항,The Teen Rebellion,1991,한국,드라마,주연,0.0,1891.0,,
18,너에게로 또다시,Back To You Once More,1990,한국,멜로/로맨스,주연,0.0,16766.0,,
19,영심이,Young-Shim,1990,한국,드라마,주연,0.0,13435.0,,
20,있잖아요 비밀이예요,You Know What? It'S A Secret,1990,한국,드라마,주연,0.0,56229.0,,
21,행복은 성적순이 아니잖아요,Happiness Does Not Come In Grades,1989,한국,드라마,단역-손창수역,0.0,155321.0,30000.0,6.0
