,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미쓰백,,2018,한국,드라마,조연,,,,
1,허스토리,Herstory,2017,한국,드라마,조연,1216948649.0,169334.0,2488957949.0,331721.0
2,해피뻐스데이,Happy Bus Day,2016,한국,"드라마,코미디",주연,3272500.0,492.0,3272500.0,492.0
3,원라인,ONE-LINE,2016,한국,범죄,주연-홍대리역,3316504433.0,434777.0,3319505433.0,435100.0
4,소통과 거짓말,Communication & Lies,2015,한국,드라마,"주연-학원실장,수퍼주인(1인2역)역",2275000.0,344.0,3388600.0,531.0
5,서부전선,The Long Way Home,2015,한국,"전쟁,드라마",조연-아줌마역,4751661400.0,609063.0,4751661400.0,609063.0
6,위험한 상견례 2,Enemies In-Law,2015,한국,"멜로/로맨스,코미디",단역-상담여교사역,3575384754.0,472693.0,3575384754.0,472693.0
7,국제시장,Ode to My Father,2014,한국,드라마,단역-오영자랑 싸우는 아지매역,110913469630.0,14257115.0,110937282730.0,14262766.0
8,몬스터,Monster,2013,한국,스릴러,단역-월세 아줌마역,4138057515.0,526547.0,4138207515.0,526557.0
9,또 하나의 약속,Another Family,2013,한국,드라마,조연-이옥연역,3536495400.0,497994.0,3541402400.0,498670.0
10,음치 클리닉,Love Clinique,2012,한국,"멜로/로맨스,코미디",조연-이형자역,2248238000.0,338168.0,2248238000.0,338168.0
11,위험한 상견례,Meet the In-Laws,2011,한국,"코미디,멜로/로맨스",단역-구멍가게 주인역,19174920500.0,2595625.0,19174920500.0,2595625.0
12,아이스케키,Ice Bar,2006,한국,드라마,조연-춘자역,0.0,516492.0,2246093000.0,392808.0
13,잠복근무,She's on Duty,2005,한국,"코미디,액션",단역-수학 선생님역,0.0,1914941.0,9590663500.0,1533225.0
