,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,두 번째 스물,Twenty Again,2015,한국,"멜로/로맨스,드라마",주연-강민구역,83730700.0,10984.0,83730700.0,10984.0
1,잡아야 산다,Chasing,2015,한국,"코미디,액션","주연-김승주역,각색",415009400.0,55011.0,415009400.0,55011.0
2,배꼽,Horny Family,2012,한국,"가족,코미디",주연,300000.0,50.0,300000.0,50.0
3,나는 아빠다,I Am Father,2010,한국,"액션,드라마",주연,1246420500.0,168049.0,1246420500.0,168049.0
4,포화속으로,71-Into The Fire,2010,한국,"드라마,전쟁","주연-한국군 대위, 강석대역",24217600897.0,3385706.0,23831968600.0,3330326.0
5,아이리스 더 무비,Iris : The Movie,2010,한국,액션,주연,,,,
6,컬링 러브,Curling Love,2007,일본,"멜로/로맨스,드라마",주연,,,,
7,"연애, 그 참을 수 없는 가벼움",Between Love And Hate,2006,한국,"멜로/로맨스,드라마",주연,0.0,668104.0,3611915500.0,565885.0
8,해변의 여인,Woman On The Beach,2006,한국,"드라마,멜로/로맨스",주연,0.0,225388.0,1010238200.0,159711.0
9,천군,Heaven’s Soldiers,2005,한국,액션,주연,0.0,1232992.0,5852391000.0,933147.0
10,불어라 봄바람,Spring Breeze,2003,한국,코미디,주연,0.0,924190.0,,
11,역전에 산다,Reversal Of Fortune,2003,한국,코미디,주연,,552041.0,643500.0,85.0
12,라이터를 켜라,Break Out,2002,한국,코미디,주연-백수 허봉구역,,470557.0,,
13,예스터데이,Yesterday,2002,한국,"SF,액션",주연,,125000.0,,
14,비밀,The Secret,2000,한국,"미스터리,판타지",주연-구호역,0.0,22168.0,,
15,신장개업,A Growing Business,1999,한국,"코미디,드라마",주연-왕사장역,0.0,100915.0,,
16,남자의 향기,Scent of a Man,1998,한국,"멜로/로맨스,액션",주연-권혁수역,0.0,148781.0,,
17,깊은 슬픔,Deep Blue,1997,한국,"드라마,액션",주연-서완역,0.0,10319.0,,
18,꽃을 든 남자,Man with Flowers,1997,한국,멜로/로맨스,주연,0.0,21024.0,,
19,고스트 맘마,Ghost Mamma,1996,한국,"멜로/로맨스,가족",주연,0.0,257688.0,20000.0,4.0
20,너희가 재즈를 믿느냐,Do You Believe In Jazz,1996,한국,멜로/로맨스,주연,0.0,41257.0,,
21,코르셋,Corset,1996,한국,"코미디,멜로/로맨스,드라마",주연,0.0,114777.0,,
22,결혼만들기,,1994,한국,드라마,주연,,,,
23,장군의 아들 3,The General's Son 3,1992,한국,"액션,드라마",주연,0.0,162600.0,0.0,0.0
24,장군의 아들,The General's Son,1990,한국,"드라마,액션",주연,0.0,678946.0,5959000.0,2974.0
