,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,눈길,Snowy Road,2015,한국,드라마,주연-최종분역,974237100.0,130172.0,975962100.0,130493.0
1,헬머니,Granny's Got Talent,2014,한국,코미디,단역-무당할매역,4120166972.0,522929.0,4122996972.0,523871.0
2,워킹걸,Casa Amor; Exclusive for Ladies,2014,한국,"코미디,멜로/로맨스",조연-연회장역,1201963479.0,151550.0,1201963479.0,151550.0
3,막걸스,Makgeolli Girls,2013,한국,코미디,조연-할머니역,15993500.0,2410.0,15993500.0,2410.0
4,"봄, 눈","Spring, Snow",2012,한국,드라마,조연-할머니역,143518000.0,22870.0,143518000.0,22870.0
5,써니,Sunny,2011,한국,"드라마,코미디",조연-나미 할머니역,54034235100.0,7362467.0,54038534700.0,7363139.0
6,식객2 : 김치전쟁,Le Grand Chef 2: Kimchi Battle,2009,한국,드라마,조연-여상 모역,3298814209.0,471103.0,3243969500.0,462714.0
7,울학교 이티,Our School's E.T.,2008,한국,"드라마,코미디",조연-성근 모역,4156170833.0,651439.0,4159767500.0,652178.0
8,강철중: 공공의 적 1-1,Public Enemy Returns,2008,한국,"드라마,액션",단역-철중 모역,28465757767.0,4300670.0,28638465100.0,4313102.0
9,수,Soo,2007,"한국,일본",액션,단역-경찰서 할머니역,0.0,218314.0,1208282000.0,199709.0
10,쏜다,Big Bang,2007,한국,코미디,단역-철곤 모역,0.0,365684.0,1945217400.0,328837.0
11,올드미스다이어리,Old Miss Diary,2006,한국,코미디,주연-김영옥역,0.0,856090.0,4750247000.0,800083.0
12,꽃피는 봄이 오면,Springtime,2004,한국,드라마,조연-재일 할머니역,0.0,717618.0,3201626000.0,497689.0
13,불어라 봄바람,Spring Breeze,2003,한국,코미디,조연-선국 모역,0.0,924190.0,,
14,화이트 발렌타인,White Valentine,1999,한국,멜로/로맨스,조연-할머니역,0.0,26343.0,,
15,우묵배미의 사랑,A Short Love Affair,1990,한국,멜로/로맨스,조연-일도 엄마역,0.0,24156.0,2362000.0,907.0
16,비 오는 날 수채화,A Sketch Of A Rainy Day,1989,한국,"드라마,멜로/로맨스",단역-보모역,0.0,64538.0,,
17,로보트 태권 V,Robot Taekwon V,1976,한국,"SF,가족,애니메이션,액션,코미디",주연-훈이 목소리역(목소리),0.0,705207.0,,
18,구름은 흘러도,Even the clouds are drifting,1959,한국,"드라마,가족",주연,,,4098000.0,2044.0
19,수업료,Tuition,1940,한국,드라마,조연,,,,
