,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,악녀,The Villainess,2017,한국,액션,주연-숙희역,9739662144.0,1208081.0,9739662144.0,1208081.0
1,1급기밀,The Discloser,2016,한국,드라마,주연,1728722300.0,218808.0,1728722300.0,218808.0
2,소수의견,The Unfair,2013,한국,드라마,주연,2891431205.0,383332.0,2892681205.0,383582.0
3,열한시,AM 11:00,2013,한국,스릴러,주연-영은역,6097792000.0,870785.0,6097792000.0,870785.0
4,뒷담화: 감독이 미쳤어요,Behind the Camera,2012,한국,드라마,주연,38535100.0,5284.0,38795100.0,5317.0
5,시체가 돌아왔다,Over My Dead Body,2012,한국,"범죄,드라마",주연-한동화역,7360631000.0,986923.0,7360631000.0,986923.0
6,고지전,The Front Line,2011,한국,"드라마,전쟁",주연-차태경역,21968557600.0,2945137.0,21968680600.0,2945151.0
7,여배우들,The Actresses,2009,한국,드라마,"주연,시나리오(각본)",3784176467.0,514052.0,3778911800.0,513405.0
8,박쥐,Thirst,2008,"한국,미국,호주","공포(호러),드라마",주연-태주역,15051788827.0,2237271.0,14846847500.0,2206948.0
9,1724 기방난동사건,The Accidental Gangster and the Mistaken Courtesan (working title),2008,한국,"사극,액션,코미디",주연,1886195121.0,286657.0,1897970000.0,288452.0
10,질주,Scud,2007,한국,멜로/로맨스,주연,,,,
11,다세포소녀,Dasepo Naughty Girls,2006,한국,"코미디,멜로/로맨스",주연,0.0,561803.0,2862531600.0,476732.0
12,여고괴담 4 : 목소리,The Voice,2004,한국,공포(호러),주연,0.0,508319.0,2474641500.0,397327.0
