,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 미드와이프,The Midwife,2017,프랑스,"드라마,코미디",주연,84973500.0,11116.0,84973500.0,11116.0
1,말로니의 두 번째 이야기,Standing Tall,2015,프랑스,드라마,주연,73000.0,12.0,73000.0,12.0
2,이웃집에 신이 산다,The Brand New Testament,2015,"벨기에,프랑스,룩셈부르크",코미디,주연,791865650.0,98018.0,792403650.0,98085.0
3,나쁜 사랑,3 Hearts,2014,프랑스,"멜로/로맨스,드라마",주연,46875500.0,6107.0,46875500.0,6107.0
4,해적: 위대한 영웅,THE PIRATE,2012,"그리스,러시아",어드벤처,조연,5000.0,1.0,5000.0,1.0
5,비러브드,Beloved,2011,"프랑스,네덜란드","뮤지컬,드라마,멜로/로맨스",주연,33610800.0,4558.0,33874800.0,4588.0
6,빅 픽처,The Big Picture,2010,프랑스,드라마,주연-앤 다마조역,182722800.0,25015.0,183556800.0,25120.0
7,현모양처,Potiche,2010,프랑스,코미디,주연,,,401000.0,45.0
8,크리스마스 이야기,A Christmas Tale,2008,프랑스,드라마,주연,,,200000.0,29.0
9,페르세폴리스,Persepolis,2007,"프랑스,미국","애니메이션,드라마,전쟁",주연(목소리),78643600.0,11575.0,78643600.0,11394.0
10,그가 떠난 후,After Him,2007,프랑스,드라마,주연,,,,
11,시간은 흘러도,Changing Times,2004,프랑스,"드라마,멜로/로맨스",주연,,,,
12,8명의 여인들,8 Women,2002,프랑스,코미디,주연,0.0,824.0,117515000.0,17951.0
13,천국에 가까이,Nearest to Heaven,2002,"프랑스,스페인,캐나다","드라마,멜로/로맨스",주연,,,,
14,머스킷티어,The Musketeer,2001,미국,"드라마,액션",주연,0.0,63542.0,,
15,나는 집으로 돌아가리라,I'm Going Home,2001,"프랑스,포르투갈","코미디,드라마",주연,,,742000.0,127.0
16,어둠속의 댄서,Dancer In The Dark,2000,덴마크,드라마,주연,0.0,165821.0,2133300.0,322.0
17,폴라X,Pola X,1999,프랑스,"드라마,멜로/로맨스",주연,0.0,81629.0,,
18,동쪽 서쪽,East-West,1999,"불가리아,프랑스,러시아,스페인","드라마,멜로/로맨스",주연,,,,
19,밤의 바람,Night Wind,1999,"프랑스,이탈리아,스위스",드라마,주연,,,,
20,잃어버린 시간을 찾아서,Time Regained,1999,"프랑스,이탈리아","드라마,멜로/로맨스,전쟁",주연,,,,
21,방돔 광장,Place Vendome,1998,프랑스,"범죄,드라마",주연,,,,
22,도둑들,Thieves,1996,프랑스,"범죄,드라마",주연,,,,
23,까뜨린느 드뇌브의 상류사회,The Murri Affair,1993,프랑스,드라마,주연,0.0,2097.0,,
24,인도차이나,Indochina,1992,프랑스,"드라마,멜로/로맨스",주연,0.0,300865.0,4121000.0,1492.0
25,까뜨린느 드느브의 추억,White Queen,1991,프랑스,"드라마,멜로/로맨스",주연,0.0,3955.0,,
26,사랑할 때와 이별할 때,Love Songs,1984,프랑스,"드라마,멜로/로맨스",주연,0.0,59896.0,,
27,마농,Manon,1980,프랑스,드라마,주연,0.0,2547.0,,
28,마지막 지하철,The Last Metro,1980,프랑스,"멜로/로맨스,드라마",주연-마리온역,,,1693000.0,296.0
29,라스트 부르맨,March Or Die,1977,영국,"드라마,전쟁",주연,,101998.0,,
30,허슬,Hustle,1975,미국,"범죄,드라마",주연,,,259000.0,40.0
31,리스본특급,Dirty Money,1971,"프랑스,이탈리아","드라마,범죄",주연,0.0,88514.0,983000.0,153.0
32,당나귀 공주,Donkey Skin,1970,프랑스,뮤지컬,주연,,,523000.0,89.0
33,애로,The April Fools,1969,미국,"멜로/로맨스,코미디",주연,0.0,109675.0,,
34,미시시피의 인어,La sirene du Mississipi / Mississippi Mermaid,1969,"프랑스,이탈리아","멜로/로맨스,범죄",주연-줄리 루세/마리온 베르가노역,,,1605000.0,297.0
35,세브린느,Belle de Jour,1967,프랑스,드라마,주연,0.0,159192.0,2090000.0,402.0
36,로슈포르의 숙녀들,The Young Girls of Rochefort,1967,프랑스,"코미디,드라마,뮤지컬",주연,,,3505600.0,490.0
37,멋진 인생,Gracious Living,1966,프랑스,"코미디,멜로/로맨스",주연,,,,
38,창조물들,The Creatures,1966,"프랑스,스웨덴","판타지,드라마",주연-밀레네역,,,266000.0,54.0
39,쉘부르의 우산,The Umbrellas Of Cherbourg,1964,"프랑스,독일","멜로/로맨스,뮤지컬",주연,0.0,0.0,3834600.0,796.0
