,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 미드와이프,The Midwife,2017,프랑스,"드라마,코미디",주연,84973500.0,11116.0,84973500.0,11116.0
1,마가렛트 여사의 숨길 수 없는 비밀,Marguerite,2015,"프랑스,체코,벨기에",드라마,주연,50757300.0,6857.0,51314300.0,6923.0
2,엘리제궁의 요리사,HAUTE CUISINE,2012,프랑스,코미디,주연,171150000.0,22521.0,176066500.0,22919.0
3,마크 오브 엔젤,Mark of An Angel,2008,프랑스,드라마,주연,,,,
4,페이지 터너,The Page Turner,2006,프랑스,"드라마,스릴러",주연-아리안 역,0.0,1880.0,11045000.0,1698.0
5,내 언니를 소개합니다,Me and My Sister,2004,프랑스,코미디,주연,,,,
6,트릴로지 2: 도망자,The Trilogy II: On the Run,2002,"프랑스,벨기에","스릴러,범죄,드라마",주연,,,,
7,트릴로지 3: 애프터 라이프,The Trilogy III: After Life,2002,"프랑스,벨기에","범죄,드라마",주연,,,,
8,딜레탕뜨,La Dilettante,1999,프랑스,코미디,주연,,,,
9,새로운 이브,The New Eve,1999,"프랑스,포르투갈","코미디,드라마,멜로/로맨스",주연,,,,
10,디너 게임,The Dinner Game,1998,프랑스,코미디,주연,,,,
