,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극장판 도라에몽: 진구의 보물섬,,2018,일본,"애니메이션,SF,어드벤처",조연-피오나 (일본어 목소리)역(목소리),,,508135400.0,65990.0
1,산책하는 침략자,Before We Vanish,2017,일본,"드라마,SF",주연,,,2650500.0,268.0
2,은혼,Gintama,2017,일본,"액션,어드벤처,코미디",주연,148853500.0,18323.0,148853500.0,18323.0
3,태평륜 완결편,The Crossing Final,2017,중국,"드라마,멜로/로맨스,전쟁,액션",주연,,,,
4,너의 이름은.,your name.,2016,일본,"애니메이션,드라마,멜로/로맨스",주연-오쿠데라 미키 역역,29564054156.0,3673885.0,29856853056.0,3711443.0
5,아이 엠 어 히어로,I Am a Hero,2016,일본,"액션,공포(호러)",주연,1806714900.0,212599.0,1806758900.0,212607.0
6,태평륜 피안,The Crossing 2,2015,중국,"드라마,액션,전쟁",주연,265000.0,53.0,751000.0,123.0
7,바닷마을 다이어리,Our Little Sister,2015,일본,드라마,주연,825145384.0,100624.0,841928384.0,102887.0
8,태평륜,The Crossing,2014,중국,"드라마,액션,전쟁",주연,730000.0,146.0,790000.0,166.0
9,깨끗하고 연약한,Beyond the Memories,2013,일본,"멜로/로맨스,드라마",주연,18232600.0,2661.0,18232600.0,2661.0
10,모테키: 모태솔로 탈출기,Love Strikes!,2011,일본,"코미디,멜로/로맨스",주연-미유키 마츠오역,4985000.0,954.0,4985000.0,954.0
11,군청,Cobalt Blue,2009,일본,드라마,주연,,,,
12,숨은 요새의 세 악인,The Last Princess,2008,일본,"액션,어드벤처",주연,,,,
13,그때는 그에게 안부 전해줘,Say Hello For Me,2007,일본,"판타지,멜로/로맨스",주연-타키카와 카리 역,,,,
14,눈물이 주룩주룩,Tears For You,2006,일본,"드라마,멜로/로맨스,미스터리,코미디",주연-아라가키 카오루역,0.0,114995.0,693839500.0,113122.0
15,러프,Rough,2006,일본,멜로/로맨스,주연,,,,
16,터치,Touch,2005,일본,드라마,주연,,,,
17,세상의 중심에서 사랑을 외치다,Crying Out Love In The Center Of The World,2004,일본,멜로/로맨스,주연,0.0,428202.0,2010989500.0,315274.0
18,로보콘,Robot Contest,2003,일본,"코미디,드라마",주연,,,,
