,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미나미 양장점의 비밀,A Stitch of Life,2015,일본,드라마,주연,45765700.0,6296.0,45765700.0,6296.0
1,갈증,The World of Kanako,2014,일본,"범죄,드라마,미스터리",주연,51559864.0,6884.0,51559864.0,6884.0
2,리큐에게 물어라,Ask This of Rikyu,2013,일본,드라마,주연,5000.0,1.0,5000.0,1.0
3,히마와리와 나의 7일,7 Days of Himawari & Her Puppies,2013,일본,드라마,주연,2561000.0,413.0,2718500.0,476.0
4,제로 포커스,Zero Focus,2009,일본,"드라마,미스터리",주연-사치코역,90753873.0,12260.0,89329000.0,12065.0
5,행복의 향기,Flavor of Happiness,2008,일본,드라마,주연,,,602000.0,86.0
6,혐오스런 마츠코의 일생,Memories Of Matsuko,2006,일본,"코미디,드라마,뮤지컬,미스터리",주연-카와지리 마츠코 역,0.0,22570.0,152023000.0,23546.0
7,7월 24일 거리의 크리스마스,Christmas On July 24Th Avenue,2006,일본,드라마,주연,,,,
8,로프트,Loft,2005,일본,"공포(호러),드라마,멜로/로맨스",주연-하투나 레이코역,4090109.0,608.0,4029000.0,599.0
9,전차남,Train Man,2005,일본,"멜로/로맨스,코미디",주연-에르메스역,0.0,30131.0,167758000.0,27207.0
10,약 서른 개의 거짓말,Thirty Lies Or So,2004,일본,코미디,주연-타카라다 역,,,52000.0,8.0
11,케이조쿠,Keizoku,2000,일본,"범죄,미스터리",주연,,,,
12,"링2(1999년, 일본판)",Ring 2,1999,일본,공포(호러),주연-타카노 마이역,0.0,128521.0,83000.0,15.0
13,링 - 라센,Rasen,1998,일본,"공포(호러),스릴러",조연-마이역,0.0,4247.0,,
14,링,The Ring,1998,일본,"공포(호러),미스터리,스릴러",주연-타카노 메이역,0.0,56983.0,280000.0,41.0
