,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,무림신공: 벽력화,Qin Ming,2015,중국,"액션,어드벤처",주연,132000.0,58.0,132000.0,58.0
1,정 검-금의위,The Spirit of the Swords,2015,중국,"액션,드라마",조연,313000.0,70.0,313000.0,70.0
2,엽문3: 최후의 대결,Ip Man 3,2015,홍콩,"액션,드라마",주연,393068600.0,46970.0,393844600.0,47108.0
3,기항지,Port of Call,2015,홍콩,"범죄,드라마,미스터리",주연,,,,
4,열혈강도: 위장 경찰 사기단,Two Thumbs Up,2015,홍콩,"액션,코미디",주연,,,,
5,지옥제19층,Naraka 19,2007,홍콩,스릴러,주연,,,,
6,비호웅사,The New Option,2002,홍콩,"액션,드라마",주연,,,,
7,구용병,Killers from Beijing,2000,홍콩,"액션,범죄",주연,,,,
8,천유안,Comeuppance,2000,홍콩,,주연,,,,
9,퍼플 스톰,Purple Storm,1999,홍콩,액션,주연,0.0,13541.0,,
10,천왕지왕 2000,The Tricky Master,1999,홍콩,코미디,주연,0.0,60.0,,
11,777 너를 사랑한 스파이,My Loving Trouble 7,1999,홍콩,"액션,코미디",주연-제임스역,,,,
12,분소해,Crying Heart,1999,홍콩,드라마,주연,,,,
13,지존무명,Point Of No Return,1990,홍콩,코미디,주연,0.0,15262.0,,
