,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,어쌔신,Assassin,2014,영국,"스릴러,액션",주연,,,,
1,벤데타: 피의 복수,Vendetta,2013,영국,"액션,스릴러",주연,50000.0,10.0,50000.0,10.0
2,에이지 오브 히어로즈,Age Of Heroes,2011,영국,"전쟁,액션",주연-밥 레인스역,,,,
3,프리러너,Freerunner,2011,미국,액션,주연,,,,
4,데블스 플레이그라운드,Devil's Playground,2010,영국,"액션,공포(호러)",주연,,,,
5,라스트 세븐: 지옥의 묵시록,The Last Seven,2010,영국,스릴러,조연,,,,
6,맬리스 인 원더랜드,Malice In Wonderland,2009,영국,"드라마,멜로/로맨스,판타지,스릴러",주연-화이티 역,,,,
7,데드맨 러닝,Dead Man Running,2009,영국,액션,주연-빙 역역,,,,
8,시티래츠,City Rats,2009,영국,"코미디,멜로/로맨스",주연-피트 역역,,,,
9,스트레이트헤드,Straightheads,2007,영국,스릴러,주연,,,,
10,아웃로,Outlaw,2007,영국,"액션,범죄",주연,,,,
11,세브란스,Sevrance,2006,영국,"공포(호러),스릴러,코미디",주연,0.0,20380.0,58642000.0,8796.0
12,디 아더 하프,The Other Half,2005,영국,"코미디,멜로/로맨스",주연,,,,
13,로버트 카마이클의 엑스터시,The Great Ecstasy Of Robert Carmichael,2005,영국,드라마,주연,,,,
14,비즈니스,The Business,2005,영국,"스릴러,드라마",주연,,,,
15,풋볼 팩토리,The Football Factory,2004,영국,"범죄,드라마",주연,,,,
