,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,우리 사이의 거대한 산,The Mountain Between Us,2017,미국,"액션,어드벤처,드라마",주연,,,,
1,슬립리스: 크리미널 나이트,Sleepless,2016,미국,"액션,범죄,스릴러",주연,146025800.0,18740.0,146025800.0,18740.0
2,인시디어스 3,Insidious: Chapter 3,2015,미국,공포(호러),주연,6396650620.0,825517.0,6396650620.0,825517.0
3,새크리파이스,Sacrifice,2014,미국,"드라마,스릴러",주연,14000.0,2.0,14000.0,2.0
4,한여름 밤의 유혹,Careful What You Wish For,2014,미국,스릴러,주연,,,270000.0,54.0
5,어거스트: 가족의 초상,August: Osage County,2013,미국,드라마,주연,542301500.0,71747.0,545341500.0,72377.0
6,잡스,Jobs,2013,미국,드라마,주연-마이크 마쿨라역,1594113136.0,225146.0,1594901136.0,225343.0
7,스토커,Stoker,2013,미국,"드라마,스릴러",주연-리차드역,2828301674.0,378729.0,2832318674.0,379241.0
8,더 그레이,The Grey,2011,"미국,캐나다","액션,드라마,스릴러",주연,2198959500.0,292217.0,2199109500.0,292267.0
9,더 그레이 감독판,The Grey,2011,"미국,캐나다","액션,드라마",주연,,,,
10,그레이시 스토리,Gracie,2007,미국,"드라마,기타",주연-브라이언 보웬 역,85848000.0,14043.0,85848000.0,13925.0
11,라스트 러브 인 뉴욕,Griffin & Phoenix,2006,미국,"코미디,드라마,멜로/로맨스",주연-그리핀 역,523000.0,82.0,523000.0,82.0
12,웨딩 데이트,The Wedding Date,2005,미국,"멜로/로맨스,코미디",주연,,,,
13,세이프티 오브 오브젝츠,The Safety Of Objects,2001,"영국,미국,캐나다",드라마,주연,,,,
14,인베스티게이팅 섹스,Investigating Sex,2001,"미국,독일","코미디,드라마",주연,,,,
15,트릭시,Trixie,2000,미국,코미디,주연,,,,
16,굿바이 러버,Goodbye Lover,1999,미국,"범죄,스릴러,코미디",주연-제이크역,0.0,10307.0,,
17,내남자친구의결혼식,My Best Friend'S Wedding,1997,미국,"멜로/로맨스,드라마,코미디",주연,0.0,333035.0,,
18,미키 루크의 추적자,The Last Outlaw,1993,미국,"서부극(웨스턴),액션",주연,0.0,12062.0,,
19,흔들리는 영웅,Where The Day Takes You,1992,미국,드라마,주연,0.0,124.0,,
20,실수로 태어난 여자,Samantha,1991,미국,코미디,주연,0.0,1731.0,,
