,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,튤립 피버,Tulip Fever,2017,"영국,미국","드라마,멜로/로맨스",주연,425521049.0,53121.0,425521049,53121
1,발레리안: 천 개 행성의 도시,VALERIAN : The City of A Thousand Planets,2017,프랑스,"액션,어드벤처,SF",주연,4047756408.0,511931.0,4047756408,511931
2,투 러버스 앤 베어,Two Lovers and A Bear,2016,캐나다,"드라마,멜로/로맨스",주연,26655200.0,3364.0,26655200,3364
3,더 큐어,A Cure For Wellness,2016,"미국,독일","미스터리,스릴러",주연,1331883200.0,159948.0,1331883200,159948
4,발레리나,Ballerina,2016,"프랑스,캐나다","애니메이션,어드벤처,가족,뮤지컬",주연(목소리),1517736400.0,202411.0,1521253600,203185
5,라이프,Life,2015,"캐나다,독일,오스트리아 ,미국",드라마,주연,155668185.0,19596.0,155800185,19616
6,어메이징 스파이더맨 2,The Amazing Spider-Man 2,2014,미국,"액션,판타지",주연,34869056800.0,4168350.0,34869101800,4168353
7,라이프 애프터 베스,Life After Beth,2014,미국,"코미디,판타지,공포(호러),멜로/로맨스",주연,,,538600,63
8,데빌스 노트,Devil's Knot,2013,미국,"범죄,스릴러",주연,8000.0,1.0,8000,1
9,킬 유어 달링,Kill Your Darlings,2013,미국,"드라마,멜로/로맨스",주연,256352020.0,32794.0,259355020,33157
10,메탈리카 스루 더 네버,Metallica Through The Never,2013,미국,"뮤지컬,액션",주연-트립역,105842800.0,9662.0,110124800,10270
11,로우리스: 나쁜 영웅들,Lawless,2012,미국,"액션,범죄",주연,468141666.0,66468.0,468390166,66504
12,크로니클,Chronicle,2012,미국,"액션,스릴러",주연-앤드류 디트머 역,2884776000.0,384398.0,2884776000,384398
