,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,다이하드 스왓,Gridlocked,2015,캐나다,액션,주연-데이빗 헨드릭스역,2000.0,1.0,1937000.0,179.0
1,런 라이크 헬,Isolation,2015,미국,"액션,스릴러",주연,300000.0,60.0,300000.0,60.0
2,프레지던트 테러 라이브,Suddenly,2015,"캐나다,미국",액션,주연,7000.0,1.0,7000.0,1.0
3,어밴던드,Abandoned,2015,뉴질랜드,드라마,주연,5000.0,1.0,5000.0,1.0
4,엑스터시 나이트,Experiment Night,2014,미국,"공포(호러),스릴러",주연,100000.0,10.0,100000.0,10.0
5,파이팅 맨,A FIGHTING MAN,2014,캐나다,드라마,주연-세일러 오코너 역역,,,,
6,왕의 이름으로 3,In the Name of the King 3,2013,"캐나다,불가리아","액션,어드벤처,판타지,드라마",주연,60000.0,10.0,60000.0,10.0
7,바이킹덤-신과의 전쟁 무삭제판,Vikingdom,2013,"말레이시아,미국","액션,판타지,어드벤처",주연,4000.0,1.0,4000.0,1.0
8,월 스트리트: 분노의 복수,Assault On Wall Street,2013,캐나다,"액션,스릴러",주연,180000.0,30.0,180000.0,30.0
9,오피서 다운,Officer Down,2013,미국,"범죄,드라마",주연,7599000.0,1513.0,7599000.0,1513.0
10,브레이크 아웃,Breakout,2013,미국,"액션,스릴러",주연-토미 역역,,,,
11,아이스 솔저스,Ice Soldiers,2013,캐나다,"SF,액션",주연-말루스 역역,,,,
12,프라이미벌,Primeval,2007,미국,"공포(호러),스릴러",주연,,,,
13,그레이브댄서,The Gravedancers,2006,미국,"공포(호러),스릴러",주연,,,,
14,쓰리 웨이,Three Way,2004,미국,"범죄,드라마,스릴러",주연,,,,
