,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
1,마일스,Miles Ahead,2015,미국,드라마,"감독,주연",92868983.0,11375.0,92924983.0,11382.0
2,캡틴 아메리카: 시빌 워,Captain America: Civil War,2015,미국,"액션,SF,스릴러",주연,72672111827.0,8677249.0,72675171827.0,8677555.0
3,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,2014,미국,"액션,어드벤처,판타지,SF",주연,88582586366.0,10494499.0,88582586366.0,10494499.0
4,플라이트,Flight,2012,미국,드라마,주연,150391500.0,20491.0,150770500.0,20553.0
5,아이언맨 2,Iron Man 2,2010,미국,"SF,액션,어드벤처",주연,33161943100.0,4498335.0,32635195500.0,4425003.0
6,브룩클린스 파이니스트,Brooklyn's Finest,2009,미국,"액션,드라마,범죄,스릴러",주연,8000.0,1.0,8000.0,1.0
7,트레이터,Traitor,2008,미국,"액션,범죄,드라마",주연,,,,
8,톡투미,Talk To Me,2007,미국,드라마,주연-피티 그린 역,23370500.0,3493.0,23370500.0,3493.0
9,레인 오버 미,Reign Over Me,2007,미국,드라마,주연,0.0,2180.0,14244000.0,2046.0
10,다르푸르 나우,Darfur Now,2007,미국,다큐멘터리,주연,,,,
11,티쇼밍 블루스,Tishomingo Blues,2007,미국,"드라마,범죄,코미디","감독,주연",,,,
12,호텔 르완다,Hotel Rwanda,2004,"영국,이탈리아,남아프리카공화국","드라마,전쟁",주연-폴 역,0.0,12353.0,69353900.0,10826.0
13,유나이티드 스테이츠 오브 리랜드,The United States Of Leland,2003,미국,"범죄,드라마",주연,,,,
14,매닉,Manic,2001,미국,드라마,주연,,,,
15,태양 너머에,Things Behind the Sun,2001,미국,드라마,주연-척 역역,,,,
16,부기나이트,Boogie Nights,1997,미국,드라마,주연-벅 스워프역,0.0,59749.0,5016000.0,784.0
17,볼케이노,Volcano,1997,미국,"액션,드라마",주연,0.0,392677.0,123000.0,41.0
