,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아마겟돈 아메리카,AmeriGeddon,2016,미국,액션,주연,,,,
1,클라리티,Clarity,2014,미국,드라마,주연,5000.0,1.0,5000.0,1.0
2,미이라 - 비밀의 문,Riddles of the Sphinx,2008,"캐나다,영국",SF,주연-제시카역,,,,
3,언스피커블,Unspeakable,2002,미국,"스릴러,공포(호러)",주연,,,,
4,증인 보호,Federal Protection,2002,미국,"액션,범죄",주연,,,,
5,타임 랩스,Time Lapse,2001,미국,스릴러,주연,,,,
6,노웨어 랜드,Nowhere Land,2000,미국,"액션,드라마,범죄",주연,,,,
7,소설보다 더 이상한 이야기,Stranger Than Fiction,1999,미국,스릴러,주연,,,,
8,박쥐,Bats,1998,미국,"공포(호러),스릴러",주연-닥터 세일라 캐스퍼역,0.0,23053.0,,
9,스타쉽 트루퍼스,Starship Troopers,1997,미국,"SF,액션,어드벤처",주연,0.0,359472.0,491000.0,74.0
10,코드명 J,Juhnny Mnemonic,1994,미국,SF,주연,0.0,122900.0,,
