,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,데드풀 2,DEADPOOL 2,2018,미국,"액션,어드벤처,코미디,SF",주연,34175001839.0,3783375.0,34185664639.0,3784602.0
1,킬러의 보디가드,The Hitman's Bodyguard,2017,미국,"액션,코미디",주연-마이클 브라이스 역,14020395800.0,1721757.0,14020488300.0,1721772.0
2,라이프,Life,2017,미국,"SF,스릴러",주연,3791748210.0,459984.0,3791748210.0,459984.0
3,크리미널,Criminal,2016,"영국,미국","액션,범죄",주연,738985181.0,92358.0,738985181.0,92358.0
4,데드풀,Deadpool,2016,미국,"액션,SF",주연,27595618651.0,3317196.0,27595618651.0,3317196.0
5,더 보이스,The Voices,2015,"미국,독일","코미디,범죄",주연,,,,
6,셀프/리스,Self/less,2015,미국,"SF,액션,스릴러",주연,874447764.0,111127.0,874447764.0,111127.0
7,우먼 인 골드,Woman in Gold,2015,"미국,영국",드라마,주연,1109776800.0,144154.0,1111546800.0,144744.0
8,R.I.P.D. : 알.아이.피.디.,R.I.P.D,2013,미국,"액션,코미디,범죄",주연-닉 워커역,725451071.0,101460.0,725451071.0,101460.0
9,크루즈 패밀리,The Croods,2013,미국,"애니메이션,가족,코미디",주연(목소리),6540060500.0,941615.0,6552685700.0,943806.0
10,터보,Turbo,2012,미국,애니메이션,주연-터보역(목소리),13113579000.0,1923748.0,13121226000.0,1925154.0
11,세이프 하우스,SAFE HOUSE,2012,"미국,남아프리카공화국","액션,스릴러",주연,1223151500.0,163729.0,1223156500.0,163730.0
12,그린랜턴: 반지의 선택,Green Lantern,2011,미국,"SF,액션",주연-할 조던 / 그린 랜턴역,1651783500.0,216676.0,1651783500.0,216676.0
13,체인지 업,The Change-Up,2011,미국,코미디,주연,,,,
14,베리드,Buried,2010,스페인,드라마,주연,470090587.0,64449.0,465167000.0,63757.0
15,페이퍼맨,Paper Man,2009,미국,"코미디,드라마",주연,900000.0,150.0,900000.0,150.0
16,프로포즈,The Proposal,2009,미국,"멜로/로맨스,코미디,드라마",주연-앤드류 팩스턴역,2481694139.0,328767.0,2442083500.0,323707.0
17,엑스맨 탄생: 울버린,X-Men Origins: Wolverine,2009,미국,"SF,액션,판타지",주연,8560185022.0,1303452.0,8408135000.0,1280734.0
18,반딧불이 정원,Fireflies in the Garden,2008,미국,"가족,드라마",주연,,,,
19,나의 특별한 사랑이야기,"Definitely, Maybe",2007,미국,"코미디,드라마,멜로/로맨스",주연-윌 헤이즈 역,1166701500.0,186234.0,1165168500.0,179336.0
20,더 나인스,The Nines,2007,미국,"판타지,미스터리",주연,,,,
21,카오스 이론,Chaos Theory,2007,미국,"코미디,드라마,멜로/로맨스",주연,,,,
22,저스트 프렌드,Just Friends,2005,미국,"코미디,멜로/로맨스",주연-크리스 브랜더역,0.0,246431.0,1444893000.0,236759.0
23,아미티빌 호러,The Amityville Horror,2005,미국,공포(호러),주연,0.0,92433.0,527182500.0,83166.0
24,웨이팅...,Waiting...,2005,미국,코미디,주연,,,,
25,블레이드 3,Blade: Trinity,2004,미국,액션,주연,0.0,1069643.0,4736231500.0,728229.0
26,풀프루프,Foolproof,2003,캐나다,"액션,코미디,범죄,스릴러",주연-케빈역,,,,
27,엽기캠퍼스,Van Wilder,2002,"독일,미국","코미디,멜로/로맨스",주연-밴 와일더역,,,,
28,화려한 싱글,Buying The Cow,2002,미국,코미디,주연,,,,
