,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,마더스 데이,Mother's Day,2010,미국,"공포(호러),스릴러,드라마",주연-마더역,100000.0,10.0,100000.0,10.0
1,템테이션 스트레인저,The Right Temptation,2000,미국,스릴러,주연,,,,
2,포이즌,A Table For One,1999,미국,"드라마,스릴러",주연,,,,
3,미녀 사기꾼,The Con,1998,미국,"코미디,범죄,드라마",주연,,,,
4,빅 샷,Thick As Thieves,1998,미국,"범죄,드라마",주연,,,,
5,위너,The Winner,1997,미국,"범죄,스릴러,코미디",주연,0.0,244.0,,
6,스트레인저,Never Talk To Strangers,1995,미국,스릴러,주연,0.0,19146.0,,
7,겟팅 아웃,Getting Out,1994,미국,드라마,주연,,,,
8,레베카의 약점,Blind Side,1993,미국,스릴러,주연,0.0,16656.0,,
9,의혹의 함정,Guilty As Sin,1993,미국,"범죄,드라마,스릴러",주연,,,,
10,요람을 흔드는 손,Hand That Rocks Cradle,1992,미국,스릴러,주연,0.0,56818.0,,
11,그리고 신은 여자를 창조했다,And God Created Woman,1988,미국,드라마,주연,0.0,18701.0,0.0,0.0
