,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,프레지던트 테러 라이브,Suddenly,2015,"캐나다,미국",액션,주연,7000.0,1.0,7000.0,1.0
1,나를 찾아서,The Identical,2014,미국,드라마,주연,188000.0,49.0,188000.0,49.0
2,무법도시,Revenge of the Green Dragons,2014,"홍콩,미국","범죄,액션",주연,,,270000.0,54.0
3,스파이 게임,The Devil's in the Details,2013,미국,스릴러,주연,32000.0,8.0,32000.0,8.0
4,히든서스펙트,PAWN,2013,미국,"범죄,스릴러",주연,11079000.0,1584.0,11079000.0,1584.0
5,킬링 소프틀리,Killing Them Softly,2012,미국,"액션,스릴러,범죄",주연,45341047.0,6539.0,45341047.0,6539.0
6,완전범죄: 키드냅,The Entitled,2011,캐나다,스릴러,주연,55000.0,38.0,55000.0,38.0
7,디테일스,The Details,2011,미국,코미디,조연-피터역,22158500.0,2909.0,22158500.0,2909.0
8,크레이지 온 더 아웃사이드,Crazy on the Outside,2010,미국,코미디,주연-그레이 역역,,,,
9,크로싱 오버,Crossing Over,2009,미국,드라마,주연,100000.0,10.0,100000.0,10.0
10,더 라인,The Line,2009,"멕시코,미국","액션,범죄,스릴러,드라마",주연,,,,
11,옵저브 앤 리포트,Observe and Report,2009,미국,코미디,주연,,,,
12,파우더 블루,Powder Blue,2009,미국,드라마,주연,,,,
13,히어로 원티드,Hero Wanted,2008,미국,"액션,범죄",주연,,,,
14,왕의 이름으로,In The Name Of The King: A Dungeon Siege Tale,2006,"독일,캐나다,미국","액션,어드벤처,판타지",주연,,,,
15,리볼버,Revolver,2005,"프랑스,영국","범죄,드라마",주연,,,,
16,슬로우 번,Slow Burn,2005,미국,"드라마,스릴러",주연,,,,
17,컨트롤,Control,2004,미국,"스릴러,범죄",주연,,,,
18,아이덴티티,Identity,2003,미국,"범죄,스릴러",주연,0.0,468817.0,136705000.0,19873.0
19,나크,NARC,2002,미국,"범죄,액션",주연,0.0,78156.0,24000.0,6.0
20,블로우,Blow,2001,미국,"범죄,드라마",조연-플드 정역,,,,
21,루머 오브 엔젤,A Rumor Of Angels,2000,미국,드라마,주연,,,,
22,포에버 마인,Forever Mine,1999,"영국,미국,캐나다","스릴러,멜로/로맨스,범죄",주연-마크 역역,,,,
23,피닉스 2,Pilgrim,1999,"캐나다,영국,멕시코",스릴러,주연,,,,
24,피닉스,Phoenix,1997,미국,"범죄,드라마",주연,0.0,5623.0,,
25,터뷸런스,Turbulence,1996,미국,"스릴러,액션",주연,0.0,97645.0,132000.0,44.0
26,덤보 드롭,Opertion Dumbo Drop,1995,미국,"액션,코미디,어드벤처,범죄",주연,0.0,808.0,,
27,코리나 코리나,Corrina Corrina,1994,미국,"드라마,코미디",주연,0.0,14814.0,,
28,압솔롬 탈출,No Escape-Escape From Absolom,1994,미국,"SF,액션",주연,0.0,30861.0,,
