,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,앱솔루틀리 애니씽,Absolutely Anything,2015,"미국,영국","코미디,SF",주연,54445800.0,7052.0,54492800.0,7059.0
1,블러바드,Boulevard,2014,미국,드라마,주연,86642300.0,11048.0,87223300.0,11126.0
2,박물관이 살아있다 : 비밀의 무덤,Night at the Museum: Secret of the Tomb,2014,"미국,영국","어드벤처,코미디,가족",주연,8170784606.0,1101678.0,8170784606.0,1101678.0
3,앵그리스트 맨,The Angriest Man in Brooklyn,2014,미국,드라마,주연,229523200.0,30656.0,229649200.0,30673.0
4,메리 프리긴 크리스마스,Merry Friggin' Christmas,2014,미국,코미디,주연-미치 역역,,,,
5,페이스 오브 러브,The Face of Love,2013,미국,"드라마,멜로/로맨스",주연,597286405.0,80699.0,597286405.0,80699.0
6,버틀러: 대통령의 집사,Lee Daniels’ The Butler,2013,미국,"드라마,기타",주연,884709000.0,126870.0,884709000.0,126870.0
7,빅 웨딩,The Big Wedding,2013,미국,"멜로/로맨스,코미디",주연-모나한 신부역,231885500.0,33993.0,233303500.0,34466.0
8,해피 피트 2,Happy Feet 2 In 3D,2011,호주,"애니메이션,코미디,가족",주연-레이몬 / 로브러스 목소리 역(목소리),1463939000.0,185744.0,1463939000.0,185744.0
9,지상 최고의 아빠,World's Greatest Dad,2009,미국,드라마,주연-렌스역,12000.0,2.0,12000.0,2.0
10,박물관이 살아있다 2,Night At The Museum 2: Battle Of The Smithsonian,2009,미국,"어드벤처,코미디,액션",주연-테디 루즈벨트역,12591000149.0,2002526.0,12399745500.0,1972440.0
11,올드 독스,Old Dogs,2009,미국,"코미디,가족",주연,,,,
12,결혼 면허 따기,License to Wed,2007,미국,"코미디,멜로/로맨스",주연,,,,
13,박물관이 살아있다!,Night At The Museum,2006,미국,"코미디,어드벤처",주연-테디 루즈벨트역,0.0,4612831.0,24401542200.0,4245247.0
14,해피 피트,Happy Feet,2006,"미국,호주","애니메이션,코미디",주연-레이몬/러브레이스/클리터스역(목소리),0.0,584900.0,3464203000.0,574916.0
15,나이트 리스너,The Night Listener,2006,미국,"미스터리,스릴러",주연,,,,
16,런어웨이 버케이션,RV,2006,미국,"어드벤처,코미디,가족",주연-밥 먼로 역,,,,
17,맨 오브 더 이어,Man of the Year,2006,미국,코미디,주연,,,,
18,빅 화이트,The Big White,2005,미국,"코미디,드라마,범죄",주연,0.0,6430.0,44578500.0,6769.0
19,하우스 오브 디,House Of D,2004,미국,드라마,주연,1163000.0,180.0,1163000.0,180.0
20,파이널컷,The Final Cut,2004,"캐나다,독일","SF,스릴러",주연-앨런 W. 해크먼역,0.0,434.0,2934000.0,434.0
21,스토커,One Hour Photo,2002,미국,스릴러,주연,0.0,39200.0,,
22,인썸니아,Insomnia,2002,미국,스릴러,주연,0.0,194724.0,,
23,로빈 윌리엄스의 스무치 죽이기,Death To Smoochy,2002,"미국,영국,독일","코미디,범죄",주연,,,,
24,제이콥의 거짓말,Jakob The Liar,1999,미국,"드라마,코미디",주연-제이콥역,0.0,5368.0,,
25,바이센테니얼 맨,Bicentennial Man,1999,미국,"SF,드라마,멜로/로맨스",주연-앤드류 마틴역,0.0,103464.0,,
26,패치 아담스,Patch Adams,1998,미국,"코미디,드라마",주연,0.0,83563.0,,
27,굿 윌 헌팅,Good Will Hunting,1997,미국,드라마,주연,0.0,165079.0,363925300.0,48228.0
28,플러버,Flubber,1997,미국,"코미디,가족,판타지",주연,0.0,170774.0,,
29,파더스데이,Fathers' Day,1997,미국,코미디,주연,0.0,6746.0,,
30,잭,Jack,1996,미국,"코미디,드라마",주연,0.0,84161.0,,
31,버드케이지,The Birdcage,1996,미국,"코미디,드라마",주연,0.0,53979.0,,
32,쥬만지,Jumanji,1995,미국,"어드벤처,판타지,가족,액션",주연,0.0,540402.0,,
33,미세스 다웃파이어,Mrs. Doubtfire,1993,미국,"드라마,가족",주연,0.0,468229.0,671000.0,235.0
34,알라딘,Aladdin,1992,미국,"드라마,뮤지컬,어드벤처,가족,판타지",주연-지니 역(목소리),0.0,647266.0,11545000.0,1496.0
35,후크,Hook,1991,미국,"가족,어드벤처,판타지",주연,0.0,281084.0,,
36,사랑의 기적,Awakenings,1990,미국,드라마,주연,0.0,55991.0,,
37,죽은 시인의 사회,Dead Poets Society,1989,미국,드라마,주연,0.0,381925.0,440665900.0,58655.0
38,굿모닝 베트남,"Good Morning, Vietnam",1987,미국,"코미디,드라마,전쟁",주연,,,,
39,가프,The World According to Garp,1982,미국,"드라마,코미디",주연,,,,
