,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,레고 배트맨 무비,The Lego Batman Movie,2017,미국,"애니메이션,액션,코미디",주연(목소리),1175424305.0,148760.0,1175424305.0,148760.0
1,탑 파이브,Top Five,2014,미국,코미디,주연-첼시 브라운역,,,,
2,팅커벨 6: 네버비스트의 전설,Tinker Bell and the Legend of the NeverBeast,2014,미국,"애니메이션,어드벤처,판타지",주연(목소리),,,,
3,파이어 위드 파이어,Fire with Fire,2012,미국,"액션,스릴러",주연,4355000.0,2030.0,4355000.0,2030.0
4,작은 영혼의 쉼터,Gimme Shelter,2012,미국,드라마,주연,,,,
5,원 나잇 리멤버,10 Years,2011,미국,"코미디,드라마",주연,45000.0,37.0,45000.0,37.0
6,로맨틱 정글,Zookeeper,2011,미국,"코미디,가족",주연-케이트 역역,,,,
7,퍼시 잭슨과 번개 도둑,Percy Jackson & The Olympians: The Lightning Thief,2010,미국,"판타지,어드벤처",주연,13372357257.0,1877226.0,13158158500.0,1846180.0
8,세븐 파운즈,Seven Pounds,2008,미국,드라마,주연,1528213109.0,232972.0,1506896000.0,229799.0
9,명백한 죄악,Explicit Ills,2008,미국,드라마,주연-바보의 어머니 역역,,,,
10,데쓰 프루프,Death Proof,2007,미국,"액션,스릴러",주연-애버나시 역,0.0,91066.0,600915000.0,88693.0
11,렌트,Rent,2005,미국,"뮤지컬,드라마,멜로/로맨스",주연,0.0,24496.0,151780000.0,23785.0
12,백만장자 프로젝트,The First $20 Million Is Always The Hardest,2002,미국,코미디,주연,,,,
13,애쉬 웬즈데이,Ash Wednesday,2002,미국,드라마,주연,,,,
14,사이드워크 오브 뉴욕,Sidewalks Of New York,2001,미국,"멜로/로맨스,코미디",주연,,,,
15,첼시 호텔,Chelsea Walls,2001,미국,드라마,주연,,,,
16,푸시캣 클럽,Josie And The Pussycats,2001,"캐나다,미국",코미디,주연,,,,
17,힙합 쿠데타,Light It Up,1999,미국,드라마,주연,,,,
