,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,막달라 마리아: 부활의 증인,Mary Magdalene,2018,영국,드라마,주연,214751200.0,30827.0,214792200,30833
1,고스트 스토리,A GHOST STORY,2017,미국,"판타지,멜로/로맨스",주연,71052400.0,8339.0,71743400,8416
2,송 투 송,Song to Song,2017,미국,"드라마,멜로/로맨스",주연,172525100.0,22518.0,172525100,22518
3,로즈,The Secret Scripture,2016,아일랜드,"멜로/로맨스,드라마",주연,113253541.0,14955.0,113253541,14955
4,라이언,LION,2016,"호주,영국,미국",드라마,주연,778355700.0,104218.0,779680700,104439
5,쿠보와 전설의 악기,Kubo and the Two Strings,2016,미국,"애니메이션,어드벤처,가족,판타지",주연(목소리),208824862.0,30525.0,208824862,30525
6,캐롤,Carol,2015,"미국,영국",드라마,주연,2646185616.0,319407.0,2666013753,321913
7,팬,PAN,2015,미국,"판타지,어드벤처",주연-타이거 릴리역,1425325592.0,186174.0,1425325592,186174
8,트래쉬,Trash,2015,미국,"어드벤처,드라마,스릴러",주연,182102913.0,25260.0,183546913,25532
9,그녀,Her,2013,미국,"드라마,멜로/로맨스",주연,2861230000.0,351091.0,2895053541,355885
10,사이드 이펙트,Side Effects,2013,미국,"스릴러,범죄,드라마",주연-에밀리 테일러역,258658000.0,37134.0,259201000,37214
11,밀레니엄 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,2011,"미국,스웨덴,영국,독일","스릴러,드라마",주연,3504509000.0,443889.0,3504237000,443855
12,나이트메어,A Nightmare On Elm Street,2010,미국,"공포(호러),스릴러",주연,1073229640.0,139140.0,1056379500,136925
13,기숙학교: 금지된 일탈,Tanner Hall,2009,미국,드라마,주연,,,8000,1
