,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,앤트맨과 와스프,Ant-Man and the Wasp,2018,미국,"액션,어드벤처,SF",주연,,,47461815885.0,5447375.0
1,스파이 게임,Unlocked,2017,영국,"액션,스릴러",주연,122840172.0,15986.0,122840172.0,15986.0
2,앤트맨,Ant-Man,2015,"미국,영국","액션,SF",주연,23528441937.0,2841699.0,23598522437.0,2847658.0
3,더 리치,Beyond the Reach,2015,미국,"액션,스릴러",주연,62994200.0,8153.0,62994200.0,8153.0
4,산타모니카 인 러브,And So It Goes,2014,미국,"멜로/로맨스,코미디",주연,8862600.0,1143.0,8977600.0,1159.0
5,라스트베가스,Last Vegas,2013,미국,코미디,주연,1363570176.0,177938.0,1363570176.0,177938.0
6,쇼를 사랑한 남자,Behind the Candelabra,2013,미국,"드라마,멜로/로맨스",주연,114529792.0,14910.0,114529792.0,14910.0
7,헤이와이어,Haywire,2011,"미국,아일랜드","액션,스릴러,미스터리,어드벤처,드라마",주연-코블렌즈역,385998324.0,54797.0,386495324.0,54874.0
8,월 스트리트: 머니 네버 슬립스,Wall Street 2: Money Never Sleeps,2010,미국,"드라마,범죄,스릴러",주연-고든 게코역,1788986817.0,245343.0,1760899000.0,241438.0
9,비욘드 리저너블 다우트,Beyond A Reasonable Doubt,2009,미국,"드라마,미스터리",주연,,,,
10,공룡의부활,Dinosaurs Alive,2007,미국,다큐멘터리,주연-나레이터 역역(목소리),,,,
11,킹 오브 캘리포니아,King of California,2007,미국,코미디,주연,,,,
12,센티넬,The Sentinel,2006,미국,"범죄,드라마",주연-피트역,0.0,163257.0,806982500.0,127722.0
13,허니문크래셔,"You, Me and Dupree",2006,미국,"코미디,멜로/로맨스",조연,,,,
14,텔 뎀 후 유 알,Tell Them Who You Are,2004,미국,다큐멘터리,주연,,,,
15,위험한 사돈,The In-Laws,2003,미국,"코미디,액션",주연,0.0,102440.0,,
16,더글라스 패밀리,It Runs In The Family,2003,미국,드라마,주연,,,,
17,맥쿨에서의 하룻밤,One Night At McCool's,2001,미국,"코미디,범죄",주연,,,,
18,원더 보이즈,Wonder Boys,2000,"독일,일본,영국,미국","드라마,코미디",주연,,,,
19,퍼펙트 머더,A Perfect Murder,1998,미국,"드라마,스릴러",주연,0.0,128853.0,,
20,더 게임,The Game,1997,미국,"미스터리,스릴러,어드벤처",주연-니콜라스 반 오튼역,0.0,79015.0,426000.0,86.0
21,폴링다운,Falling Down,1996,미국,"드라마,범죄,코미디",주연,0.0,23454.0,,
22,고스트 앤 다크니스,Ghost And Darkness,1996,미국,"액션,드라마,스릴러,어드벤처",주연,0.0,104783.0,,
23,폭로,Disclosure,1995,미국,스릴러,주연,0.0,268380.0,,
24,원초적 본능,Basic Instinct,1992,미국,"미스터리,스릴러",주연,0.0,970180.0,66000.0,22.0
25,사랑의 용기,Shining Through,1992,미국,"멜로/로맨스,스릴러,전쟁,드라마",주연,0.0,19973.0,366000.0,151.0
26,나일의 대모험,The Jewel Of The Nile,1987,미국,"액션,코미디,어드벤처",주연,0.0,38123.0,75000.0,25.0
27,위험한 정사,Fatal Attraction,1987,미국,"드라마,스릴러",주연,0.0,65099.0,,
28,뉴욕 소나타,It's My Turn,1980,미국,"코미디,드라마",주연,,,,
29,죽음의 가스,Coma,1978,미국,"스릴러,범죄",주연,,,,
