,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,캅스 앤 로버스,Cops And Robbers,2017,미국,액션,주연,,,,
1,시티 워: 익스트림 킬러,Vigilante Diaries,2016,미국,액션,주연,5534000.0,1097.0,5534000.0,1097.0
2,에코 이펙트,Chain of Command,2015,미국,"액션,스릴러",주연,300000.0,60.0,300000.0,60.0
3,안드로이드 캅,Android Cop,2014,미국,"액션,SF",주연,4000.0,1.0,4000.0,1.0
4,스킨 트레이드,Skin Trade,2014,"미국,캐나다,태국","액션,스릴러",주연,18621000.0,3588.0,18621000.0,3588.0
5,겟 썸2,Never Back Down 2: The Beatdown,2011,미국,액션,"감독,주연-케이스 역역",,,,
6,택티컬 포스,Tactical Force,2011,캐나다,"액션,SF,스릴러",주연-헌트 역역,,,,
7,블러드 앤 본,Blood and Bone,2009,미국,"액션,드라마",주연,,,,
8,언디스퓨티드 2,Undisputed II: Last Man Standing,2006,미국,"액션,범죄",주연,,,,
9,유니버설 솔저:그 두번째 임무,Universal Soldier: The Return,1999,미국,"SF,액션",조연,0.0,28906.0,,
10,빅 샷,Thick As Thieves,1998,미국,"범죄,드라마",주연,,,,
11,스폰,Spawn,1997,미국,"공포(호러),액션,판타지",주연,0.0,143489.0,,
12,유니버설 솔져,Universal Soldier,1992,미국,"액션,SF",주연-군인역,0.0,308429.0,,
