,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,로그 원: 스타워즈 스토리,ROGUE ONE: A STAR WARS STORY,2016,미국,"액션,어드벤처,판타지,SF",주연,9047995594.0,1019309.0,9047995594.0,1019309.0
1,닥터 스트레인지,Doctor Strange,2015,미국,"액션,어드벤처,판타지",주연,47482530396.0,5446379.0,47485590396.0,5446685.0
2,맨 앤 치킨,Men and chicken,2015,"덴마크,독일","코미디,드라마",주연,11571000.0,2316.0,11571000.0,2316.0
3,웨스턴 리벤지,The Salvation,2014,"덴마크,영국,남아프리카공화국","액션,서부극(웨스턴)",주연,119414000.0,15671.0,119414000.0,15671.0
4,찰리 컨트리맨,The Necessary Death of Charlie Countryman,2013,"미국,루마니아","코미디,멜로/로맨스,액션",주연,34601538.0,4692.0,34601538.0,4692.0
5,미하엘 콜하스의 선택,Michael Kohlhaas,2013,"프랑스,독일",드라마,주연,51852200.0,6822.0,51952200.0,6842.0
6,더 헌트,The Hunt,2012,덴마크,드라마,주연-루카스역,266626000.0,35124.0,274871500.0,36503.0
7,로얄 어페어,A Royal Affair,2012,"덴마크,스웨덴,독일,체코","멜로/로맨스,드라마",주연,157728100.0,20371.0,159137600.0,20545.0
8,샤넬과 스트라빈스키,Coco Chanel & Igor Stravinsky,2009,"프랑스,일본,스위스","드라마,멜로/로맨스",주연,96159500.0,12439.0,97954500.0,12762.0
9,더 도어,The Door,2009,독일,"드라마,미스터리,SF,스릴러",주연-다비드 역,103443099.0,13283.0,103019000.0,13241.0
10,발할라 라이징,VALHALLA RISING,2009,덴마크,"액션,어드벤처",주연,,,,
11,애프터 웨딩,After The Wedding,2006,"덴마크,스웨덴",드라마,주연-제이콥 역,600500.0,86.0,620500.0,90.0
12,아담스 애플,Adam's Apples,2005,"덴마크,독일","코미디,범죄,드라마",주연,,,,
13,정육점의 비밀,The Green Butchers,2003,덴마크,"코미디,드라마",주연,,,,
14,엔젤 오브 나이트,Angel Of Night,1998,덴마크,공포(호러),주연,,,,
