,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,폰조,Fonzo,2018,미국,"범죄,드라마",주연,,,,
1,드림 쏭,Rock Dog,2016,미국,애니메이션,주연(목소리),1826269700.0,234387.0,1826269700.0,234387.0
2,선라이트 주니어,Sunlight Jr.,2014,미국,"멜로/로맨스,드라마",주연,3245000.0,399.0,3245000.0,399.0
3,아트 오브 더 스틸,The Art of the Steal,2013,캐나다,코미디,주연-니키 칼훈 역역,,,,
4,테이커스,Takers,2010,미국,"액션,범죄,스릴러",주연-잭 웰스 역역,,,,
5,아머드,Armored,2009,미국,"액션,범죄,스릴러",주연,,,,
6,더 트루스: 무언의 제보자,Nothing But The Truth,2008,미국,"드라마,스릴러",주연,270000.0,54.0,270000.0,54.0
7,허니문크래셔,"You, Me and Dupree",2006,미국,"코미디,멜로/로맨스",주연-칼 피터슨역,,,,
8,허비,Herbie: Fully Loaded,2005,미국,"코미디,가족,판타지",주연,0.0,60643.0,295949000.0,50040.0
9,삶의 가장자리,Factotum,2005,"노르웨이,미국","코미디,멜로/로맨스",주연,,,,
10,크래쉬,Crash,2004,미국,"드라마,범죄,미스터리",주연-백인 경찰 - 라이언역,0.0,152617.0,907041100.0,142833.0
11,임플로이 오브 더 먼스,Employee Of The Month,2004,미국,"코미디,드라마",주연-데이빗 월쉬역,,,,
12,시티 오브 고스트,City Of Ghosts,2002,미국,"범죄,스릴러","감독,주연",,,,
13,맥쿨에서의 하룻밤,One Night At McCool's,2001,미국,"코미디,범죄",주연,,,,
14,와일드씽,Wild Things,1998,미국,"미스터리,범죄,스릴러",주연,0.0,33891.0,,
15,메리에겐 뭔가 특별한 것이 있다,There's Something About Mary,1998,미국,코미디,주연,0.0,273170.0,,
16,인 앤 아웃,In & Out,1997,미국,코미디,주연,0.0,52147.0,,
17,뷰티풀 걸,Beautiful Girls,1996,미국,"멜로/로맨스,코미디",주연-토미 `버드맨` 로랜드역,0.0,392.0,,
18,알비노 앨리게이터,Albino Alligator,1996,미국,"스릴러,드라마,범죄",주연,0.0,102.0,,
19,그레이스 하트,Grace Of My Heart,1996,미국,코미디,주연,,,,
20,투 다이 포,To Die For,1995,"영국,미국","드라마,코미디,스릴러",주연,0.0,100411.0,,
21,골든 게이트,Golden Gate,1994,미국,드라마,주연,0.0,3145.0,,
22,미스터 원더풀,Mr. Wonderful,1993,미국,코미디,주연,0.0,3749.0,,
23,세인트 오브 뉴욕,The Saint Of Fort Washington,1992,미국,드라마,주연,0.0,9573.0,,
24,죽음전의 키스,A Kiss Before Dying,1991,미국,"스릴러,드라마",주연,0.0,41580.0,,
25,아웃사이더,The Outsiders,1984,미국,"액션,범죄",주연,0.0,59873.0,,
26,라이어스 문,Matt Dillon In Liar'S Moon,1981,미국,드라마,주연,0.0,83500.0,,
