,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,리틀 포레스트,Little Forest,2018,한국,드라마,주연,11919869185.0,1504888.0,11924818185.0,1505560.0
1,배심원들,,2018,한국,드라마,주연,,,,
2,1987,1987: When the Day Comes,2017,한국,드라마,단역-버스 위 호헌철폐 선창역,58166310145.0,7231770.0,58166910145.0,7231830.0
3,여배우는 오늘도,The Running Actress,2017,한국,"드라마,코미디","감독,주연-문소리역,시나리오(각본)-1막 각본,시나리오(각본)-3막 각본,시나리오(각본)-2막 각본",138754300.0,16864.0,139182300.0,16929.0
4,특별시민,The Mayor,2017,한국,드라마,주연,10494768945.0,1362634.0,10494768945.0,1362634.0
5,니 부모 얼굴이 보고 싶다,,2017,한국,드라마,조연,,,,
6,아가씨,The Handmaiden,2016,한국,"스릴러,드라마",조연-이모역,35211229991.0,4287839.0,35219128991.0,4288750.0
7,아가씨(확장판),The Handmaiden,2016,한국,"스릴러,드라마",조연-이모역,,,106018200.0,13828.0
8,"오오단편극장 - 안녕하세요 전, 여빈입니다",,2016,기타,기타,감독,,,75000.0,11.0
9,나쁜 나라,Cruel State,2015,한국,다큐멘터리,기타-나레이션,143889400.0,21435.0,144884900.0,21576.0
10,필름시대사랑,Love and...,2015,한국,드라마,주연,12686000.0,1611.0,12686000.0,1611.0
11,2015 GSFF 단편 초청 1,INVITATION: SHORT FILMS SECTION1,2015,한국,기타,감독,,,344000.0,43.0
12,AISFF2015 아시프 랑데부: 최고의 감독 & 동행,AISFF RENDEZVOUS: THE BEST DIRECTOR & ACCOMPANY,2015,한국,기타,감독,,,,
13,AISFF2015 특별상영 & 미스터쿠퍼,SPECIAL SCREENING & MR. COWPER,2015,한국,기타,감독,,,205000.0,41.0
14,CWFF 단편모음1,CWFF Shorts Package 1,2015,한국,기타,감독,,,224000.0,56.0
15,FALLing in JEONJU - 코리아시네마스케이프 단편,,2015,한국,기타,감독,,,,
16,동행,Accompany,2015,한국,드라마,주연,,,,
17,서울독립영화제 2015 특별단편 2,,2015,한국,기타,감독,,,518500.0,88.0
18,서울독립영화제2015 심야상영2,,2015,한국,기타,감독,,,981500.0,103.0
19,최고의 감독,The Best Director,2015,한국,기타,감독,,,,
