,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,해피 버스데이,Birthday Card,2016,일본,"드라마,멜로/로맨스",주연,84559800.0,10634.0,85700800.0,10765.0
1,분노,RAGE,2016,일본,스릴러,주연,234732537.0,29061.0,235703037.0,29224.0
2,세상에서 고양이가 사라진다면,If Cats Disappeared From the World,2015,일본,드라마,주연,504349200.0,70424.0,504349200.0,70424.0
3,괴물의 아이,The Boy and The Beast,2015,일본,"애니메이션,판타지,어드벤처",주연,1665251116.0,224849.0,1665491116.0,224889.0
4,행복한 사전,The Great Passage,2013,일본,"드라마,코미디",주연,120977600.0,15465.0,121451600.0,15526.0
5,노란 코끼리,Yellow Elephant,2013,일본,멜로/로맨스,주연-츠마리 아이코역,12299500.0,2317.0,12299500.0,2317.0
6,"꽃잎, 춤",Petal Dance,2012,일본,드라마,주연,3638000.0,466.0,3638000.0,466.0
7,늑대아이,Wolf Children,2012,일본,"애니메이션,판타지,멜로/로맨스,드라마,어드벤처",주연(목소리),2322956761.0,337729.0,2339099961.0,339852.0
8,내 어머니의 인생,Chronicle Of My Mother,2011,일본,드라마,주연,,,5509000.0,2727.0
9,컬러풀,Colorful,2010,일본,애니메이션,조연(목소리),34079900.0,5212.0,34079900.0,5212.0
10,소라닌,"Solanin,",2010,일본,드라마,주연-메이코역,82518575.0,11090.0,81872000.0,10997.0
11,엄마 시집 보내기,"Here Comes The Bride, My Mom",2010,일본,드라마,주연,,,,
12,소년 메리켄사쿠,Brass Knuckle Boys,2008,일본,코미디,주연,,,,
13,어둠의 아이들,Children Of The Dark,2008,일본,드라마,주연,41095211.0,6477.0,40527000.0,6385.0
14,요시토모 나라와의 여행,Traveling With Yoshitomo Nara,2007,일본,다큐멘터리,주연,26932383.0,3903.0,27575500.0,4035.0
15,첫눈,Virgin Snow,2007,"한국,일본","드라마,멜로/로맨스",주연,0.0,19734.0,125580000.0,19734.0
16,"다만, 널 사랑하고 있어",Heavenly Forest,2006,일본,"멜로/로맨스,드라마",주연,0.0,61901.0,379535000.0,61796.0
17,은발의 아기토,Gin-iro no kami no Agito,2006,일본,"애니메이션,드라마",주연-토오라 (목소리)역(목소리),,,,
18,첫사랑,First Love,2006,일본,멜로/로맨스,주연,,,,
19,좋아해,Su-Ki-Da,2005,일본,드라마,"주연-17세 소녀, 유역",0.0,1465.0,11946500.0,1715.0
20,우리개 이야기,All About My Dog,2005,일본,드라마,주연-미카역,0.0,5150.0,35274500.0,5250.0
21,나나,NANA,2005,일본,드라마,주연-코마츠 나나역,0.0,86855.0,438460500.0,71392.0
22,엘리 엘리 라마 사박다니,"My God, My God, Why Hast Thou Forsaken Me",2005,일본,SF,주연-하나역,,,,
23,러브드 건,Loved Gun,2004,일본,"드라마,스릴러",주연,,,,
24,파란 차,A Blue Automobile,2004,일본,드라마,주연,,,,
25,러버스 키스,Lovers' Kiss,2002,일본,드라마,주연,,,,
26,토미에 최종장 : 금단의 과실,Tomie : Forbidden Fruit,2002,일본,공포(호러),주연,,,,
27,해충,Harmful Insect,2002,일본,드라마,주연,,,199000.0,47.0
28,파코다테진,Pakodate-jin,2001,일본,"멜로/로맨스,판타지,드라마",주연,,,,
29,유레카,Eureka,2000,일본,드라마,주연,,,,
