,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,불륜사고-쌍방책임,Runaway trip,2015,일본,성인물(에로),주연,8000.0,1.0,8000,1
1,불륜의 유부녀,Forbidden fruit is special,2015,일본,성인물(에로),주연,8000.0,1.0,8000,1
2,노예의 성욕-불기둥,The nature of the captive pole wife,2015,일본,성인물(에로),주연,8000.0,1.0,8000,1
3,동생애인과의 정사,Lover of the younger sister,2015,일본,성인물(에로),주연,8000.0,1.0,8000,1
4,강한건 당신의 키스 -체취,Bride of the farmhouse I want to meet you,2015,일본,성인물(에로),주연,5000.0,1.0,5000,1
5,간호사만 참아야하나,Midnight consulting room special 2,2014,일본,성인물(에로),주연,8000.0,1.0,8000,1
6,환자의 욕정풀기 - 간호사,Midnight consulting room special 3,2014,일본,성인물(에로),주연,8000.0,1.0,8000,1
7,간호사들의 음담패설-충격실화,Midnight consulting room special 1,2014,일본,성인물(에로),주연,8000.0,1.0,8000,1
8,헤이세이 미망인 하숙집-방빌려드립니다,BOARDING HOUSE RENT THE ROOM,2008,일본,성인물(에로),주연,30000.0,10.0,30000,10
9,헤이세이 미망인 하숙집-관리인을 노려라,BOARDING HOUSE INTENDED JANITOR,2008,일본,성인물(에로),주연,30000.0,10.0,30000,10
10,섹스 잘하는 여자가 좋다,JOSYU-SHIKU611,2007,일본,"멜로/로맨스,드라마",주연,9000.0,1.0,9000,1
11,G컵 수사관 란,Cutie Dynamite,2005,일본,멜로/로맨스,주연,,,30000,10
12,뜨겁게 안아줘,Midnight Clinic vol.4,2004,일본,성인물(에로),주연,4000.0,2.0,4000,2
