,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,충격과 공포,SHOCK and AWE,2017,미국,드라마,주연,,,,
1,레지던트 이블: 파멸의 날,Resident Evil: The Final Chapter,2016,"미국,독일,호주,캐나다,프랑스","액션,공포(호러),SF,스릴러",주연,6422202365.0,765259.0,6422202365.0,765259.0
2,스파이 서바이버 무삭제판,Survivor,2015,미국,"액션,스릴러",주연,4000.0,1.0,4000.0,1.0
3,스파이 서바이버,Survivor,2015,"미국,영국","액션,스릴러",주연,1544000.0,243.0,1544000.0,243.0
4,범죄의 제국,Cymbeline,2014,미국,액션,주연,6489000.0,1297.0,6489000.0,1297.0
5,윈터 퀸,The Winter Queen,2014,"미국,러시아,영국","액션,범죄",주연,,,,
6,레지던트 이블 5 : 최후의 심판,Resident Evil: Retribution,2011,"미국,독일","액션,공포(호러),SF,스릴러",주연-엘리스역,4757460500.0,558433.0,4757538500.0,558443.0
7,페이스 블라인드,Faces In The Crowd,2011,"미국,프랑스,캐나다","범죄,미스터리,스릴러",주연-안나 마샹역,660556169.0,88977.0,660556169.0,88977.0
8,삼총사 3D,The Three Musketeers,2011,"독일,영국,프랑스","액션,어드벤처",주연,5731619500.0,660172.0,5731619500.0,660172.0
9,브링잉 업 바비,Bringing Up Bobby,2011,미국,"드라마,코미디",주연-올리브역,,,,
10,스톤,STONE,2010,미국,"드라마,스릴러",주연-루세타 크리슨 역,118007000.0,15455.0,118007000.0,15455.0
11,레지던트 이블 4: 끝나지 않은 전쟁 3D,Resident Evil: Afterlife,2010,"독일,미국,영국","공포(호러),스릴러,액션",주연,14767125516.0,1209538.0,14533948000.0,1190008.0
12,포스 카인드,The Fourth Kind,2009,미국,"SF,미스터리,스릴러",주연,1701070326.0,229014.0,1672315500.0,224808.0
13,퍼펙트 겟어웨이,A Perfect Getaway,2009,미국,"스릴러,어드벤처,공포(호러)",주연-시드니역,2343962833.0,315888.0,2303965000.0,310779.0
14,레지던트 이블 3 - 인류의 멸망,Resident Evil: Extinction,2007,"프랑스,호주,독일,영국,미국","액션,공포(호러),SF,스릴러",주연-앨리스 역,0.0,557851.0,3591648000.0,534877.0
15,울트라바이올렛,Ultraviolet,2006,미국,"액션,SF",주연-바이올렛역,0.0,107252.0,578938700.0,93095.0
16,리벤지45,.45,2005,미국,드라마,주연,382000.0,56.0,298000.0,44.0
17,레지던트 이블,Resident Evil,2002,미국,공포(호러),주연,0.0,270709.0,,
18,노 굿 디드,No Good Deed,2002,"독일,미국","범죄,스릴러,드라마",주연-에린역,,,,
19,스위트 보이스,Dummy,2002,미국,"코미디,드라마,멜로/로맨스",주연-패니 (판고라)역,,,,
20,밀리언달러 호텔,The Million Dollar Hotel,2000,영국,드라마,주연,0.0,18812.0,,
21,더 클레임,The Claim,2000,"영국,프랑스,캐나다","서부극(웨스턴),멜로/로맨스,드라마",주연,,,,
22,쟌다르크,The Messenger: The Story Of Joan Of Arc,1999,미국,"사극,드라마,전쟁",주연-잔 역,0.0,220986.0,,
23,제 5원소 리마스터링 감독판,The Fifth Element,1997,프랑스,"SF,액션,어드벤처",주연,2060000.0,677.0,2060000.0,677.0
24,제5원소,The Fifth Element,1996,프랑스,"SF,액션,스릴러,어드벤처",주연,0.0,857752.0,245000.0,28.0
25,멍하고 혼돈스러운,Dazed and Confused,1993,미국,"코미디,드라마",주연-미셸 버로우스역,,,,
26,블루라군 2,Return To The Blue Ragoon,1992,미국,"멜로/로맨스,어드벤처",주연,0.0,2363.0,,
27,초보영웅 컵스,Kuffs,1992,미국,"액션,코미디,범죄",주연,0.0,98567.0,,
