,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,언더독,Underdog,2018,한국,애니메이션,주연-밤이 목소리역(목소리),,,,
1,패러사이트,,2018,한국,드라마,주연,,,,
2,대장 김창수,MAN OF WILL,2017,한국,드라마,단역-한영희역,2879121115.0,381483.0,2879121115.0,381483.0
3,설행_눈길을 걷다,Snow Paths,2015,한국,드라마,주연-마리아역,44019700.0,5930.0,44080200.0,5943.0
4,검은 사제들,The Priests,2015,한국,"미스터리,드라마",조연-영신역,42407832092.0,5442553.0,42410940592.0,5443049.0
5,뱀파이어는 우리 옆집에 산다,THE VAMPIRE LIVES NEXT DOOR TO US,2015,한국,기타,주연-나미역,,,,
6,사도,The Throne,2014,한국,사극,조연-내인 문소원역,48842902501.0,6246849.0,48846045501.0,6247651.0
7,베테랑,Veteran,2014,한국,"액션,드라마",조연-앳된 막내역,105168155250.0,13414009.0,105169264250.0,13414200.0
8,경성학교: 사라진 소녀들,The Silenced,2014,한국,"미스터리,드라마",주연-연덕역,2749027700.0,356342.0,2749755100.0,356436.0
9,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",단역-여고생 1역,13570381911.0,1714803.0,13571515911.0,1715370.0
10,상의원,The Royal Tailor,2014,한국,"사극,드라마",조연,6202433964.0,790158.0,6204129964.0,790370.0
11,마담 뺑덕,Scarlet Innocence,2014,한국,멜로/로맨스,단역-클럽 청이친구역,3728956590.0,471169.0,3729360590.0,471248.0
12,일대일,One on One,2014,한국,드라마,조연-다방오양역,78745100.0,10141.0,78747100.0,10142.0
13,아름다운임종,beautiful dying,2014,한국,드라마,조연,,,,
14,이쁜 것들이 되어라,The Legacy,2013,한국,"코미디,드라마,가족,멜로/로맨스",조연-은선역,4147400.0,528.0,4219400.0,542.0
15,소녀,Steel Cold Winter,2013,한국,"멜로/로맨스,미스터리",조연-지연역,153877000.0,20594.0,153915000.0,20599.0
16,잉투기,INGtoogi: The Battle of Internet Trolls,2012,한국,"액션,드라마",조연-연희역,121548600.0,17071.0,130194600.0,18159.0
