,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,너와 극장에서,Cinema with You,2017,한국,드라마,주연,6271500.0,913.0,14180600.0,2032.0
1,여성감독 단편선_인디포럼 월례비행 12월,,2017,한국,기타,감독,,,347000.0,50.0
2,정화된 밤,,2017,한국,드라마,감독,,,,
3,재꽃,Ash Flower,2016,한국,드라마,주연,38393000.0,5264.0,39377500.0,5428.0
4,꿈의 제인,Jane,2016,한국,드라마,조연-주희역,203379700.0,24874.0,205039700.0,25060.0
5,마돈나,Madonna,2015,한국,드라마,조연-준희역,141053400.0,18112.0,142120400.0,18276.0
6,방과 후 티타임 리턴즈,After School,2015,한국,"멜로/로맨스,드라마",주연,,,,
7,오늘영화,Now Playing,2014,한국,"멜로/로맨스,기타",조연-박현영역,17273200.0,2348.0,20409900.0,2861.0
8,어느 날 갑자기,One day,2014,한국,"공포(호러),판타지,드라마",주연-체육 선생역,,,,
9,인디포럼2014 약간의 매드니스,,2014,한국,기타,감독,,,78000.0,13.0
10,탈리타쿰,Talitha Koum,2014,한국,드라마,"감독,시나리오(각본)",,,,
11,명왕성,PLUTO,2012,한국,"드라마,스릴러",조연-김 선생역,114536500.0,16828.0,114740500.0,16866.0
12,가족시네마,Modern Family,2012,한국,드라마,조연-현영 (순환선)역,19453000.0,2639.0,19453000.0,2639.0
13,순환선,Circle Line,2012,한국,"드라마,판타지,가족",주연,,,,
14,고양이: 죽음을 보는 두 개의 눈,The Cat,2011,한국,공포(호러),조연-김 순경역,4779530000.0,672071.0,4780632000.0,672340.0
15,고백,Confession,2011,한국,드라마,주연,,,18337.0,11.0
16,레인보우,Passerby #3,2009,한국,드라마,"주연-김지완역,촬영-소스영상촬영",20582634.0,2800.0,20305100.0,2775.0
17,내 사랑 내 곁에,Closer To Heaven,2009,한국,"드라마,멜로/로맨스",단역-손 노인 딸역,15764312409.0,2160265.0,15584755500.0,2135509.0
18,오디션,A.U.D.I.T.I.O.N,2009,한국,드라마,단역-오디션 참가자역,,,500000.0,100.0
19,슈퍼맨이었던 사나이,A Man Who Was Superman,2007,한국,"드라마,코미디",주연-간호사역,3688309333.0,559705.0,3642192500.0,550284.0
20,어깨 너머의 연인,Love Exposure,2007,한국,"드라마,멜로/로맨스",단역-직업소개소 직원역,0.0,301153.0,1974664500.0,295394.0
21,만남의 광장,Underground Rendezvous,2007,한국,코미디,단역-달수 모역,0.0,1306434.0,7819284000.0,1211528.0
22,좋지 아니한가,Skeletons In The Closet,2007,한국,"드라마,코미디",단역-허정란역,0.0,321654.0,1849140000.0,306470.0
23,그놈 목소리,Voice of a Murderer,2006,한국,"드라마,스릴러",단역-여 순경역,0.0,3143247.0,17598617600.0,2972299.0
24,오래된 정원,The Old Garden,2006,한국,드라마,단역-현영역,0.0,296532.0,1490193500.0,285381.0
25,Mr.로빈 꼬시기,Seducing Mr. Perfect,2006,한국,"멜로/로맨스,코미디",조연-선영역,0.0,730443.0,3990360200.0,680241.0
26,무도리,Moodori,2006,한국,"드라마,코미디",조연-자살지원자들 - 사랑 그만 역,0.0,70969.0,363899000.0,59806.0
27,Gift,Gift,2006,한국,"드라마,판타지",주연-현주역,,,,
28,6월의 일기,Bystanders,2005,한국,"드라마,범죄",단역-동욱 친구역,0.0,697980.0,3645962000.0,593867.0
29,분홍신,The Red Shoes,2005,한국,공포(호러),단역-홍보녀역,0.0,1371122.0,6768633000.0,1073189.0
30,맛있니?,One Summer Day,2005,한국,드라마,주연-윤미역,,,,
31,화기애애,Friendly and Harmonious,2005,한국,드라마,조연,,,52000.0,26.0
32,B형 남자친구,My Boyfriend Is Type-B,2004,한국,코미디,단역-인터뷰 여역,0.0,1485454.0,7324579000.0,1174581.0
33,살인의 추억,Memories Of Murder,2003,한국,스릴러,단역-양호 선생역,,5255376.0,23573997.0,3833.0
34,뽀삐,Popee,2002,한국,드라마,조연,,1533.0,,
35,유통기한,The Limit Time of Distribution,2002,한국,드라마,주연-순호역,,,,
36,연애에 관하여,Another Love Story,2000,한국,"드라마,기타",주연-정민역,,,,
37,웃음,The Smile,2000,한국,"멜로/로맨스,드라마",주연-현영역,,,,
38,강원도의 힘,The Power of Kangwon Province,1998,한국,드라마,주연-은경역,0.0,15967.0,60000.0,12.0
