,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,스탠딩 업,Standing Up,2013,미국,"가족,드라마",주연,5000.0,1.0,5000.0,1.0
1,리들,Riddle,2013,미국,"미스터리,스릴러",주연,8000.0,1.0,8000.0,1.0
2,비행기,Planes,2013,미국,애니메이션,주연-에코역(목소리),1671046500.0,233563.0,1670999500.0,233555.0
3,세븐 빌로우,7 BELOW,2012,미국,"스릴러,공포(호러)",주연,1200000.0,80.0,1200000.0,80.0
4,와이어트 어프 리벤지,Wyatt Earp's Revenge,2012,미국,"드라마,서부극(웨스턴)",주연-와이어트 어프역,,,,
5,5 데이즈 오브 워,5 Days Of War,2011,미국,"액션,드라마,전쟁",주연-더치먼역,1685000.0,230.0,1685000.0,230.0
6,블러드 아웃,Blood Out,2011,미국,"액션,범죄",주연-발 킬머역,,,,
7,트윅스트,Twixt,2011,미국,"공포(호러),스릴러",주연-할 볼티모어 역,,,1677000.0,256.0
8,예고살인자,The Traveler,2010,미국,"공포(호러),스릴러",주연,2575000.0,1112.0,2575000.0,1112.0
9,건,Gun,2010,미국,"액션,스릴러",주연,7697000.0,1539.0,7697000.0,1539.0
10,블러드워스,Bloodworth,2010,미국,"드라마,멜로/로맨스",주연-워렌 블러드워스 역,,,,
11,스트릿 오브 블러드,Streets of Blood,2009,미국,"범죄,스릴러,액션",주연,1845000.0,369.0,1845000.0,369.0
12,악질경찰,Bad Lieutenant : Port of Call New Orleans,2009,미국,"스릴러,액션,범죄",주연-스티비 프루이트 역,14364500.0,1977.0,14364500.0,1977.0
13,하드와이어,Hardwired,2009,"미국,캐나다","액션,SF",주연-버질역,,,,
14,컨스피러시,Conspiracy,2008,미국,액션,주연,,,,
15,콜럼버스 데이,Columbus Day,2008,미국,"범죄,스릴러",주연,,,,
16,펠론,Felon,2008,미국,"범죄,드라마",주연,,,,
17,"해브 드림스, 윌 트래블","Have Dreams, Will Travel",2007,미국,"드라마,멜로/로맨스",주연,,,,
18,데자뷰,Deja Vu,2006,미국,액션,주연,0.0,829891.0,4763875500.0,778364.0
19,모스크바 제로,Moscow Zero,2006,"미국,스페인,영국","액션,공포(호러),미스터리",주연,,,,
20,키스 키스 뱅뱅,Kiss Kiss Bang Bang,2005,미국,"액션,코미디,범죄",주연,,,,
21,알렉산더,Alexander,2004,미국,"전쟁,드라마",조연,0.0,1671576.0,8352610789.0,1310651.0
22,블라인드 호라이즌,Blind Horizon,2004,미국,스릴러,주연,0.0,105.0,,
23,스파르탄,Spartan,2004,"미국,독일","액션,범죄,스릴러",주연-스캇역,,,,
24,실종,The Missing,2003,미국,스릴러,조연,0.0,3511.0,5252000.0,856.0
25,원더랜드,Wonderland,2003,"미국,캐나다","범죄,드라마,미스터리",주연,,,,
26,하드 캐쉬,Hard Cash,2002,미국,"범죄,액션",주연,0.0,0.0,,
27,발 킬머의 집행자,The Salton Sea,2002,미국,"범죄,드라마,미스터리",주연,,,,
28,레드 플래닛,Red Planet,2000,"미국,호주","SF,공포(호러),스릴러,액션",주연-로비 겔라거역,0.0,102593.0,,
29,사랑이 머무는 풍경,At Frist Sight,1999,미국,"드라마,멜로/로맨스",주연,0.0,98523.0,,
30,조이 더 킹,Joe The King,1999,미국,"범죄,드라마",주연,,,,
31,이집트 왕자,THe Prince Of Egypt,1998,미국,"애니메이션,드라마,가족",주연-모세역(목소리),0.0,613973.0,,
32,세인트,The Saint,1997,미국,"액션,스릴러",주연,0.0,195239.0,,
33,닥터모로의DNA,The Island Of Dr. Moreau,1996,미국,"SF,공포(호러),스릴러",주연,0.0,99731.0,,
34,고스트 앤 다크니스,Ghost And Darkness,1996,미국,"액션,드라마,스릴러,어드벤처",주연,0.0,104783.0,,
35,히트,Heat,1995,미국,"액션,범죄,드라마,스릴러",주연,0.0,412819.0,42646500.0,5555.0
36,배트맨 포에버,Batman Forever,1995,미국,액션,주연,0.0,216771.0,,
37,툼스톤,Tombstone,1993,미국,"드라마,서부극(웨스턴),액션",주연,0.0,36859.0,,
38,리얼 맥코이,The Real Mccoy,1993,미국,"드라마,범죄,스릴러",주연-J.T. 바커 역,0.0,82217.0,,
39,도어즈,The Doors,1993,미국,드라마,주연,0.0,61586.0,,
40,붉은 사슴비,Thunder Heart,1992,미국,"미스터리,범죄,스릴러",주연,0.0,1875.0,,
41,탑건,Top Gun,1986,미국,"액션,드라마",주연,0.0,278975.0,6041000.0,611.0
42,특급 비밀,Top Secret!,1984,미국,코미디,주연,,,1829000.0,252.0
