,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,슬랙 베이: 바닷가 마을의 비밀,SLACK BAY,2016,프랑스,"미스터리,코미디",주연,7332600.0,1019.0,10164700.0,1372.0
1,마카담 스토리,Macadam Stories,2015,프랑스,드라마,주연,70384000.0,8942.0,70384000.0,8942.0
2,휴먼 캐피탈,Human Capital,2013,"이탈리아,프랑스","범죄,드라마,스릴러",주연,,,3236000.0,493.0
3,키스 미 어게인,Kiss Me Again,2010,"이탈리아,프랑스",드라마,주연,2290000.0,301.0,2290000.0,301.0
4,핸즈 업,Hands Up,2010,프랑스,드라마,주연-센드린 역,,,,
5,리그렛,Les Regrets,2009,프랑스,"멜로/로맨스,드라마",주연,46573500.0,6000.0,46573500.0,6000.0
6,퍼펙트 커플,A Perfect Couple,2005,"일본,프랑스",드라마,주연,,,1325000.0,267.0
7,5x2,Five times two,2004,프랑스,"드라마,멜로/로맨스",주연-마리온역,0.0,3792.0,23558500.0,3458.0
8,낙타에겐 더 쉬운 일,It's Easier For A Camel...,2003,"프랑스,이탈리아","어드벤처,코미디,드라마","감독,주연",,,,
9,아! 내가 부자라면,If I Were A Rich Man,2002,프랑스,코미디,주연,,,,
10,난 인생이 두렵지 않아,La Vie Ne Me Fait Pas Peur,1999,"프랑스,스위스",코미디,주연,,,,
11,거짓말의 한가운데,The Color Of Lies,1998,프랑스,"범죄,드라마",주연,,,1033000.0,196.0
